product_type,product_name,product_price,product_brand,product_model,product_keyboardtype,product_numpad,product_layout,product_mech,product_prog,product_media,product_connection,product_dimensions,product_light
Toetsenborden QWERTY,"Logitech K380 Bluetooth Toetsenbord Grijs QWERTY","50,95","Logitech","920-007582","Toetsenbord","Nee","QWERTY UK layout","Nee","Nee","Ja","Draadloos","27,9 cm x 12,4 cm x 1,6 cm","Nee"
Toetsenborden QWERTY,"R-Go-Tools Ergo Compact Toetsenbord QWERTY","51,-","R-Go Tools","RGOECQYW","Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Nee","Bedraad","12 cm x 28,5 cm x 1,5 cm","Nee"
Toetsenborden QWERTY,"Rapoo E6700 Bluetooth Toetsenbord Rood QWERTY","59,99","Rapoo","RP E6700 RD NL","Touchpad, Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Ja","Draadloos","33,2 cm x 10,1 cm x 1,5 cm","Nee"
Toetsenborden QWERTY,"Microsoft All-in-One Media Toetsenbord QWERTY","44,99","Microsoft","N9Z-00022","Touchpad, Toetsenbord","Nee","QWERTY UK layout","Nee","Nee","Ja","Draadloos","36,7 cm x 13,2 cm x 1,94 cm","Nee"
Toetsenborden QWERTY,"Bakker Elkhuizen S-Board 840 Numeriek Blok","61,95","Bakker Elkhuizen","BNES840DNUM","Number pad","Ja","Numeriek US layout","Nee","Nee","Nee","Bedraad","30,5 cm x 16,5 cm x 2 cm","Nee"
Toetsenborden QWERTY,"Rapoo E9090P Draadloos Toetsenbord QWERTY","79,99","Rapoo","RP E9090P B-N","Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Ja","Draadloos","16,8 cm x 43,3 cm x 2,3 cm","Nee"
Toetsenborden QWERTY,"Rapoo E2800P Wireless Touchpad Keyboard Wit QWERTY","59,99","Rapoo","E2800P WH-N","Touchpad, Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Ja","Draadloos","10,1 cm x 33,2 cm x 1,5 cm","Nee"
Toetsenborden QWERTY,"Logitech Multi Device Toetsenbord K480 zwart QWERTY","49,99","Logitech","920-006366","Toetsenbord","Nee","QWERTY UK layout","Nee","Nee","Ja","Draadloos","2,99 cm x 19,5 cm x 2 cm","Nee"
Toetsenborden QWERTY,"Microsoft Universal Foldable Keyboard QWERTY","101,95","Microsoft","GU5-00013","Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Nee","Draadloos","15,54 cm x 13,41 cm x 2,9 cm","Nee"
Toetsenborden QWERTY,"Ewent Smart TV Toetsenbord QWERTY","39,99","Ewent","EW3115","Touchpad, Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Ja","Draadloos","35,5 cm x 12,9 cm x 1,5 cm","Nee"
Toetsenborden QWERTY,"Logitech Multi Device Toetsenbord K480 Wit QWERTY","49,99","Logitech","920-006367","Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Ja","Draadloos","2,99 cm x 1,95 cm x 0,2 cm","Nee"
Toetsenborden QWERTY,"R-Go-Tools Goldtouch Travel Go!2 Bluetooth QWERTY","182,99","R-Go Tools","RGOGTGTP-0044W","Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Nee","Draadloos","15,2 cm x 34,3 cm x 2,5 cm","Nee"
Toetsenborden QWERTY,"Rapoo E2710 Wireless Multimedia Touchpad Keyboard Wit QWERTY","45,99","Rapoo","E2710W","Touchpad, Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Ja","Draadloos","25,4 cm x 8,2 cm x 1,9 cm","Nee"
Toetsenborden QWERTY,"Belkin Numeriek Bluetooth Keypad voor Apple","74,99","Belkin","F8T067cw","Number pad","Ja","Numeriek US layout","Nee","Nee","Nee","Draadloos","13,1 cm x 12,9 cm x 1,8 cm","Nee"
Toetsenborden QWERTY,"Rapoo E2710 Wireless Multimedia Touchpad Keyboard Zwart QWERTY","42,99","Rapoo","E2710B","Touchpad, Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Ja","Draadloos","None x None x None","Nee"
Toetsenborden QWERTY,"Microsoft Wired Keyboard 600 QWERTY","24,99","Microsoft","ANB-00021","Number pad, Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Ja","Bedraad","None x None x None","Nee"
Toetsenborden QWERTY,"Logitech K380 Bluetooth Toetsenbord Blauw QWERTY","49,99","Logitech","920-007583","Toetsenbord","Nee","QWERTY UK layout","Nee","Nee","Ja","Draadloos","27,9 cm x 12,4 cm x 1,6 cm","Nee"
Toetsenborden QWERTY,"Trust Veza Draadloos Toetsenbord met Touchpad QWERTY","42,99","Trust","20960","Touchpad, Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Ja","Draadloos","40 cm x 3 cm x 14 cm","Nee"
Toetsenborden QWERTY,"Rapoo E1050 Wireless Keyboard QWERTY","25,99","Rapoo","E1050","Number pad, Toetsenbord","None","QWERTY US layout","Nee","Nee","Ja","Draadloos","39,2 cm x 12,6 cm x 2,9 cm","Nee"
Toetsenborden QWERTY,"Rapoo N7200 Bedraad Toetsenbord Wit QWERTY","29,99","Rapoo","N7200W","Number pad, Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Ja","Bedraad","34 cm x 11 cm x 1,1 cm","Nee"
