product_type,product_name,product_desc,product_price,product_brand,product_model,product_wifi,product_bluetooth,product_cpu,product_graphicscard,product_graphicsmemory,product_memory,product_storage,product_dimensions,product_weight
Desktops QWERTY,"HP Pavilion All-In-One 24-r050nd","De HP Pavilion All-In-One 24-r050nd is een All-in-One desktop die geschikt is voor als je graag met zwaardere programma's aan de slag wil. Bewerk foto's of download de nieuwe aflevering van je favoriete serie. Waar je ook mee bezig bent, door het IPS paneel zie je ware kleuren op het scherm. Omdat de computer in het beeldscherm is verwerkt, heb je geen losse computerkast. En omdat je een muis en toetsenbord meegeleverd krijgt, ga je meteen aan de slag met deze desktop.","999,-","HP","2ML06EA #ABH","Wireless AC","4.2","Intel Core i5 7400T","Intel HD Graphics 630","None","8 GB","128 GB SSD + 1 TB HDD","45,6 cm x 17 cm x 57,2 cm","7,8 kg"
Desktops QWERTY,"HP 260-a115nd","De HP 260-a115nd is een desktop die geschikt is voor basistaken als e-mailen, films kijken en je administratie bijhouden. Terwijl je een e-mail verstuurt, luister je op de achtergrond een muziekje via Spotify of download je een film voor vanavond. Op de 1 TB harde schijf kun je een hele collectie aan films en series kwijt. En al je vakantiefoto's. Door zijn breedte van 10 cm is de desktop makkelijk onder je bureau of er bovenop te plaatsen, zonder dat het veel ruimte in beslag neemt.","299,-","HP","1EU19EA#ABH","Wireless N, Wireless G, Wireless B","4.2","Intel Celeron J3060","Intel HD Graphics 400","None","4 GB","1 TB harde schijf","10 cm x 30,7 cm x 27,5 cm","4,4 kg"
Desktops QWERTY,"Apple iMac 27'' (2017) MNED2N/A 3,8 GHz 5K","Apple iMac 27'' MNED2N/A 3,8 GHz 5K is voor grafische bewerkers met een behoefte voor veel opslagruimte. De 2 TB Fusion Drive zorgt ervoor dat deze iMac meer opslagcapaciteit heeft dan vergelijkbare modellen. Zo bewaar je al je ontwerpen en je mediabibliotheek op deze iMac. Je ontwerpen zet je in enkele seconden over via de Thunderbolt 3 poorten met een snelheid van 40Gbps. Op het 5K beeldscherm worden beelden vloeiend weergegeven door de krachtige AMD Radeon Pro 580 videokaart. Bewerk een 3D ontwerp tot in de details, of kijk een film in een resolutie van 5K ter ontspanning. De iMac is direct klaar voor gebruik na het uitpakken. Een Apple Magic toetsenbord en Magic muis worden namelijk meegeleverd.","2.599,-","Apple","MNED2N/A","Wireless AC","4.0","Intel Core i5 7600K","AMD Radeon Pro 580","None","8 GB","2 TB HDD","65 cm x 2,03 cm x 51,6 cm","9,54 kg"
Desktops QWERTY,"HP ProDesk 400 G3 1EX80EA","De HP ProDesk 400 G3 1EX80EA is een zakelijke mini desktop waarmee je de laatste cijfers bekijkt en presentaties maakt. De TPM chip bewaart je documenten versleuteld, waardoor je ze veilig bewaart. Deze compacte pc draait op Windows 10 Pro, waardoor je via Remote Desk gemakkelijk verbinding maakt met andere computers. Handig als je een dag thuis werkt of bij een klant op bezoek bent. De 128 GB SSD start je programma's in enkele seconden op, zodat je meteen aan de slag gaat. Is je ProDesk kapot? Dan staat er dankzij de uitgebreide garantie de volgende werkdag een monteur op de stoep.","524,-","HP","1EX80EA#ABH","None","None","Intel Core i3 7100T","Intel HD Graphics 630","None","4 GB","128 GB SSD","17,7 cm x 3,42 cm x 17,47 cm","1,21 kg"
Desktops QWERTY,"HP Pavilion 570-p070nd","De HP Pavilion 570-p070nd desktop is geschikt om met zware programma's voor grafisch ontwerp aan de slag te gaan. Met 16 GB werkgeheugen en een Core i7 processor kan deze desktop zware taken aan en werk je gemakkelijk in bijvoorbeeld Photoshop, terwijl je muziek streamt en nog een project in Final Cut Pro open hebt staan. Met de 128 GB PCIe SSD start je programma's nog sneller op dan met een traditionele SSD schijf, waardoor je in een paar seconden kunt beginnen aan je nieuwe grafische meesterwerk. Met de 1 TB harde schijf heb je genoeg opslagruimte voor al je media.","999,-","HP","1JT97EA#ABH","Wireless AC","4.0","Intel Core i7 7700","AMD Radeon R5 435","2000 MB","16 GB","128 GB SSD + 1 TB HDD","16,3 cm x 31,5 cm x 30,7 cm","5,7 kg"
Desktops QWERTY,"Lenovo Ideacentre 510S-08IKL 90GB0057MH","Gebruik de Lenovo Ideacentre 510S-08IKL 90GB0057MH om aan de slag te gaan met het bewerken van foto's en video's. Zet een eenvoudige video in elkaar of bewerk de meest recente foto's van de afgelopen vakantie. Of werk met twee of meer programma's tegelijkertijd zonder dat je hapering ondervindt door de Intel Core i5 processor. Stream je lievelingsplaylist via Spotify of kijk een film uit je mediabibliotheek. Bewaar naast je favoriete kiekjes en filmpjes alle overige bestanden op de 1 TB harde schijf. Door zijn compacte formaat past de pc makkelijk op je bureau of eronder.","599,-","Lenovo","90GB0057MH","Wireless AC","4.0","Intel Core i5 7400","NVIDIA GeForce GT 730","2000 MB","8 GB","1 TB harde schijf","9 cm x 29,7 cm x 34,4 cm","5,2 kg"
Desktops QWERTY,"Asus VivoPC M32CD-K-NL018T","De Asus VivoPC M32CD-K-NL018T is een echte alleskunner en geschikt voor het hele gezin. Kids spelen games door de GTX 1060 videokaart en ouders bewerken video's en foto's van de afgelopen vakantie. Binnen 15 seconden na het aanzetten van de pc ga je aan de slag door de 128 GB SSD. Games, video's en foto's bewaar je op de 1 TB harde schijf. Of installeer veelgebruikte programma's op de SSD, waardoor ze tot wel 2 keer sneller laden dan via de harde schijf. Met het 16 GB RAM geheugen worden zelfs de zwaarste taken sneller verwerkt, waardoor je minder lang hoeft te wachten.","999,-","Asus","90PD01J8-M25210","Wireless AC","4.1","Intel Core i5 7400","NVIDIA GeForce GTX 1060","3000 MB","16 GB","128 GB SSD + 1 TB HDD","17,6 cm x 38 cm x 40,8 cm","8,3 kg"
Desktops QWERTY,"HP Pavilion 570-p081nd","Op de HP Pavilion 570-p081nd werk je je administratie bij en bewerk je foto's. Je programma's zijn in enkele seconden klaar voor gebruik dankzij de 128 GB PCIe SSD, die nog sneller is dan een traditionele SSD. Het 16 GB werkgeheugen zorgt ervoor dat deze desktop zware processen snel uitvoert.  Voor films en foto's uit je collectie is ruimte zat op de 1 TB harde schijf. Pak de desktop uit en sluit hem aan op een monitor en ga dan meteen aan de gang.","699,-","HP","1NG42EA#ABH","Wireless AC","4.2","AMD A10 9700","AMD Radeon R7","2000 MB","16 GB","128 GB SSD + 1 TB HDD","16,3 cm x 31,5 cm x 30,7 cm","5,7 kg"
Desktops QWERTY,"Apple iMac 21,5'' (2017) MNE02N/A 3.4 GHz Retina 4K","Met het 4K display is Apple iMac 21,5'' MNE02N/A 3.4 GHz Retina 4K voor grafische professionals die veel afbeeldingen of video's bewerken. Door de krachtige AMD Radeon Pro 560 videokaart render je zonder hapering een 4K video of leg je de laatste hand aan een 3D ontwerp. Extra schermruimte nodig? Sluit dan één of 2 extra 4K beeldschermen aan via de Thunderbolt 3 poorten. Of zet data over via Thunderbolt 3: door de overdrachtsnelheid van 40Gbps zijn zelfs de grootste afbeeldingen binnen enkele seconden overgezet. Je krijgt bij iMac een Magic muis en Magic toetsenbord meegeleverd. Hierdoor ga je na het uitpakken en het aansluiten meteen met je aankoop aan de slag.","1.699,-","Apple","MNE02N/A","Wireless AC","4.0","Intel Core i5 None","AMD Radeon Pro 560","4000 MB","8 GB","1 TB Fusion Drive","52,8 cm x 2,03 cm x 45 cm","5,68 kg"
Desktops QWERTY,"Acer Aspire XC-780 I4304 NL","De Acer Aspire XC-780 I4304 NL gebruik je voor je dagelijkse bezigheden. Check je Facebook, kijk films of doe de administratie. Door het 8 GB werkgeheugen zet je met een gerust hart 10 tabbladen open in je browser, zonder dat je pc er langzaam reageert. Of zet een muziekje op terwijl je je mail beantwoordt. En heb je een grote mediabibliotheek, dan bewaar je deze op de 1 TB harde schijf. Je hebt zelf een muis, toetsenbord, monitor en aansluitkabels nodig om aan de slag te gaan met je aanwinst.","499,-","Acer","DT.B8AEH.005","Wireless AC","4.0","Intel Core i3 7100","Intel HD Graphics 630","None","8 GB","1 TB harde schijf","10 cm x 41,948 cm x 29,163 cm","8 kg"
