product_type,product_name,product_desc,product_price,product_brand,product_model,product_printertype,product_tech,product_maxsize,product_maxres,product_bwspeed,product_cspeed,product_memory,product_dimensions,product_weight
Laserprinters,"Brother HL-1210W","De Brother HL-1210W is de geschikte printoplossing voor een thuiskantoor. Deze laserprinter drukt al je facturen en offertes in zwart-wit af met een snelheid van 20 pagina's per minuut. Ben je binnen het bereik van je draadloos netwerk? Verstuur dan draadloos via de iPrint&Scan app vanaf je smartphone of tablet je printjes naar de printer toe. Ook zonder app is het nog steeds mogelijk je printtaken draadloos te versturen vanaf je laptop of pc met wifi. Met zijn afmetingen van 34 x 24 x 18 cm is de printer compact te noemen. En door de 'anti-jam' functie voorkom je papierstoringen. Print met de meegeleverde toner tot 700 pagina's.","68,99","Brother","HL-1210W","None","Laser","A4","2400 x 600","20 ppm","None","None","23,8 cm x 34 cm x 18,9 cm","4,6 kg"
Laserprinters,"HP Color LaserJet Pro MFP M477fnw","Deel de HP Color LaserJet Pro MFP M477fnw via je modem, en je print, scant, kopieert en faxt tegelijk met de gehele werkgroep via dezelfde printer. De M477fnw is daarnaast via het 10,9 cm touchscreen aan de voorkant van de printer te bedienen. Zo hoef je niet eerst de pc op te starten om een opdracht uit te voeren. Ook als je vaak op je laptop, smartphone of tablet werkt, biedt de M477fnw uitkomst. Download de HP ePrint app en je verstuurt draadloos opdrachten naar de printer.","349,-","HP","CF377A#B19","None","Laser","A4","600 x 600","27 ppm","27 ppm","None","41,6 cm x 46,1 cm x 40 cm","21,8 kg"
Inkjetprinters,"Epson WorkForce WF-7720DTWF","De Epson WorkForce WF-7720DTWF is een professionele All-in-one A3 inkjetprinter voor kleine tot middelgrote bedrijven. De printer heeft 2 afzonderlijke papierlades met een capaciteit van maximaal 250 A3 vellen en 250 A4 vellen. Zo wissel je normale A4 tekstdocumenten af met grootformaat papier voor brochures, flyers en posters zonder deze tussendoor te verwisselen. Bovendien print het apparaat dubbelzijdig, waardoor je beide zijden van het papier benut. Maak je regelmatig kopieën of scans? De automatische documentinvoer (ADF) van 35 pagina's scant je facturen, brieven of andere documenten achter elkaar. Je print meteen vanaf je laptop, desktop of telefoon door je apparaat dicht bij de printer te houden.","249,-","Epson","C11CG37412","None","Inkjet","A3","4800 x 2400","18 ppm","10 ppm","None","56,7 cm x 48,6 cm x 41,8 cm","21,7 kg"
Inkjetprinters,"HP PageWide Enterprise Color MFP 586dn","De HP PageWide Enterprise Color MFP 586dn is een printer, scanner en kopieerapparaat in één voor op kantoor. Dankzij het werkgeheugen van 2 GB kan de printer meerdere opdrachten tegelijk uitvoeren. Verbind de printer via een modem met het netwerk en deel hem met het hele kantoor. Via het touchscreen selecteer jij eenvoudig de gewenste scan-, kopieer- en printinstellingen. Scan rapporten tot 100 pagina's via de ADF. Kwetsbare documenten scan je met de flatbedscanner. De PageWide technologie werkt met inkt zoals een inkjetprinter, met de snelheid van een laserprinter. De 1200 minuscule spuitmondjes bedrukken in 1 keer de volle breedte van de pagina. De papierinvoer is uit te breiden tot 5 laden, zo heb je voor elke papiersoort een eigen lade.","1.608,09","HP","G1W39A","None","Inkjet","A4","1200 x 1200","50 ppm","50 ppm","2,048 GB","53 cm x 56,4 cm x 52,9 cm","32,3 kg"
Inkjetprinters,"HP OfficeJet 7110 Breedformaat ePrinter","Met de HP OfficeJet 7110 Breedformaat ePrinter druk je professionele documenten of flyers af van briefkaartformaat tot A3+. Doordat de printer beschikt over wifi en een netwerkaansluiting verstuur je op verschillende manieren printopdrachten naar het apparaat. Denk hierbij aan het draadloos sturen van een printopdracht via je tablet of smartphone of vanaf één van de aangesloten computers binnen jouw netwerk of werkgroep.","131,99","HP","CR768A","None","Inkjet","A3+","1200 dpi x 4800 dpi","15 ppm","8 ppm","0,128 GB","58,5 cm x 41,9 cm x 18,9 cm","8,5 kg"
Laserprinters,"HP LaserJet Pro M402dw","De HP LaserJet Pro M402dw laserprinter is een zwart-wit wifiprinter, geschikt voor een groot kantoor. Dankzij de ondersteuning voor SNMP bepaal jij welke printrechten je werknemers krijgen. Je stuurt je printopdrachten via het wifi netwerk naar de printer toe. En met een Android smartphone geef je een tikje aan de printer en deze verstuurt op korte afstand de printtaken. Door dubbelzijdig af te drukken, wat geheel automatisch gaat, bespaar je papier. Daarnaast met de Auto-on/Auto-off functie gaat de printer meteen aan wanneer je op de print knop drukt. Via AirPrint stuur jij je printtaken naar de printer toe als je een iPhone of iPad hebt. Of met Google Cloud printing druk je je documenten meteen af vanuit de cloud.","229,-","HP","C5F95A","None","Laser","A4","1200 x 1200","38 ppm","None","0,128 GB","38,1 cm x 35,7 cm x 21,6 cm","8,58 kg"
Laserprinters,"Brother DCP-9015CDW","Print in zowel zwart-wit als kleur al je contracten en marketing presentaties met deze Brother DCP-9015CDW led printer. Dankzij een 9,3 cm kleuren touchscreen, wat net zo breed is als een prittstift, voer je de gewenste instellingen in zonder dat je pc aan hoeft. Is het papier bijna op of staat de lade nog open dan krijgt de beheerder hier melding van via mail. Zo blijft de printer altijd operationeel. Je verstuurt je printtaken draadloos via wifi. Hierdoor zet je de printer makkelijk overal binnen je kantoor. Behalve printen, scan en kopieer je al je jaargesprekken en -verslagen.","219,-","Brother","DCP9015CDWRF1","None","Led technologie","A4","600 x 2400","18 ppm","18 ppm","0,192 GB","48,3 cm x 41 cm x 36,7 cm","26,4 kg"
Inkjetprinters,"Canon PIXMA MG6853","De Canon PIXMA MG6853 is een zilver/witte wifi printer voor thuis. De printer is geschikt voor Cloud Print en AirPrint, zodat je ook vanaf je smartphone en tablet print. Dankzij de hoge printresolutie en 5 losse cartridges, zijn je prints haarscherp én bespaar je op je inktkosten. Je hoeft namelijk alleen de kleurencartridge te vervangen die leeg is. Scannen en kopiëren doe je direct via het touchscreen aan de voorkant.","74,-","Canon","0519C066","None","Inkjet","A4","4800 x 1200","15 ppm","9,7 ppm","None","45,5 cm x 36,9 cm x 14,8 cm","6,4 kg"
Laserprinters,"HP LaserJet Pro M102w","De HP LaserJet Pro M102w laserprinter is een eenvoudige zwart-wit wifiprinter, geschikt voor een kleine onderneming. Je verstuurt je documenten draadloos naar de printer via het wifi netwerk. Bij slecht wifi bereik kun je direct draadloos contact maken met de printer en print je alsnog je facturen. En met de Auto-on/Auto-off functie gaat de printer meteen aan wanneer je op de print knop drukt. Hierdoor haal jij je eerste contract of factuur na 7,3 seconden op. Via AirPrint stuur jij je printtaken naar de printer toe als je een iPhone of iPad hebt. Of met Google Cloud printing druk je je documenten meteen af vanuit de cloud.","89,99","HP","G3Q35A#B19","None","Laser","A4","600 x 600","22 ppm","None","None","36,47 cm x 24,73 cm x 19 cm","4,7 kg"
Laserprinters,"Brother HL-L2360DN","De Brother HL-L2360DN is een snelle zwart-witlaserprinter, zeer geschikt voor op kantoor. Deel de printer in het netwerk en gebruik de printer met meerdere gebruikers. Bij een snelheid van 30 pagina's per minuut print hij tot 100 vel achter elkaar. Met AirPrint of de gratis iPrint-app print je tevens draadloos vanaf je smartphone of tablet. Dit in combinatie met het compacte formaat, maakt deze printer geschikt voor iedereen die snel en makkelijk, veel printjes wil maken.","104,99","Brother","HLL2360DNRF1","None","Laser","A4","2400 x 600","30 ppm","None","None","35,6 cm x 36 cm x 18,3 cm","6,9 kg"
Labelprinters,"Brother QL-700","Met de Brother QL-700 haal je een professionele labelprinter in huis voor al jouw labelbenodigdheden. Het is mogelijk om labels en tapes van 12 mm tot 62 mm breed te bedrukken met snelheden tot 150 mm of 93 labels per minuut. Doordat de Brother QL-700 over ingebouwde software beschikt (add-in voor Word, Excel en Outlook), werkt het apparaat via het plug & play principe. Sluit de QL-700 aan via usb op jouw computer of laptop en de software wordt automatisch herkend waarna jij direct aan de slag kan met het produceren van verschillende soorten labels.","52,99","Brother","QL700RF1","None","None","None","300 x 300","None","None","None","12,8 cm x 22,1 cm x 15,3 cm","1,12 kg"
Inkjetprinters,"Epson WorkForce Pro WF-4720DWF","Professionaliseer je werkplek met de Epson WorkForce Pro WF-4720DWF inkjet printer. Schaf met 1 apparaat een printer, scanner, kopieer- en faxmachine aan. Maak draadloos contact met de printer via je smartphone of tablet en verstuur zo je printjes zonder dat je de pc aanzet. Scan direct al je facturen en contracten in en bewaar ze via de Epson Connect app in de cloud. Zo weet jij zeker dat je altijd bij je documenten kunt vanaf een pc of smartphone met internet waar ook ter wereld. Dankzij de automatische documentinvoer bespaar je tijd doordat je niet stuk voor stuk je documenten invoert. Je print met een snelheid van 20 pagina's per minuut al je documenten.","199,-","Epson","C11CF74402","None","Inkjet","A4","4800 x 1200","20 ppm","20 ppm","None","42,5 cm x 37,8 cm x 24,9 cm","9,1 kg"
Inkjetprinters,"HP OfficeJet 7612 e-All-in-One","Met de HP OfficeJet 7612 e-All-in-One print je tot A3 formaat vanaf je smartphone, tablet of pc. De automatische documentinvoer (ADF) scant, kopieert of faxt meerdere pagina's in 1 keer. Je print een poster of fotoalbum rechtstreeks vanaf je smartphone via HP ePrint of Apple AirPrint. Deel de 7612 binnen je netwerk zodat iedereen in huis zijn printopdrachten rechtstreeks door kan sturen. Dankzij de losse inktcartridges gooi je nooit meer bruikbare inkt weg: je vervangt alleen de kleur die daadwerkelijk op is.","156,99","HP","G1X85A#A80","None","Inkjet","A3","4800 x 1200","15 ppm","8 ppm","0,256 GB","61,7 cm x 50,5 cm x 29,7 cm","17,6 kg"
Laserprinters,"HP LaserJet Pro MFP M426fdw","Met een snelheid tot 40 pagina's per minuut is de HP LaserJet Pro MFP M426fdw geschikt voor op een groot kantoor. Deel de printer draadloos via je modem en je maakt met de hele werkgroep gebruik van deze snelle zwart-witprinter. Of verstuur een opdracht met je smartphone of tablet via de HP ePrint app. Wil je even snel een document kopiëren of scannen? Via het touchscreen van 7,5 cm aan de voorkant selecteer jij eenvoudig de gewenste scan-, kopieer- en printinstellingen.","379,-","HP","F6W15A#B19","None","Laser","A4","600 x 600","38 ppm","None","None","43 cm x 39 cm x 32,5 cm","12,86 kg"
Inkjetprinters,"Canon PIXMA MG2550s","Print al je receptjes of vakantiekiekjes thuis met de Canon PIXMA MG2550s. Verstuur via je pc je printtaken en de MG2550s springt uit zichzelf aan vanuit de energiebesparingsstand door middel van de 'Auto Power On' functie. Je print dus direct zonder dat je de printer handmatig aan moet zetten. Naast het printen, scan en kopieer je ook documenten en boekwerken. Met een resolutie van 4800 x 600 dpi druk je je foto's op hoge kwaliteit af en organiseer al je foto's direct met de meegeleverde 'My Image Garden' software.","43,99","Canon","0727C006","None","Inkjet","A4","4800 x 600","8 ppm","4 ppm","None","42,6 cm x 30,6 cm x 14,5 cm","3,5 kg"
Laserprinters,"Brother DCP-L8410CDW","Deze Brother DCP-L8410CDW All-in-one kleuren laserprinter beschikt over veiligheidsinstellingen wat hem geschikt maakt voor een notariskantoor of ministerie. Beveilig je printtaken optioneel met een pincode en alleen als je deze invoert op de printer zelf, start hij pas met afdrukken. Dit is handig als je bijvoorbeeld niet wil dat iedereen je printjes leest voor jij zelf bij de printer bent. Dit alles stel je simpel in via je webbrowser, waardoor je geen apart programma meer hoeft te installeren. Je archiveert op hoog tempo al je contracten en maakt er doorzoekbare pdf's van dankzij de tekstherkenningsfunctie. Ben je op zoek naar een bepaald document? Voer een zoekopdracht in en je hebt zo de juiste papieren weer gevonden.","369,-","Brother","DCP-L8410CDW","None","Laser","A4","2400 x 600","31 ppm","31 ppm","0,512 GB","43,5 cm x 52,6 cm x 53,9 cm","27,6 kg"
Inkjetprinters,"HP OfficeJet 7510","Print documenten tot A3 formaat vanaf je smartphone, tablet of pc met de HP OfficeJet 7510 All-in-One. Scan, kopieer of fax meerdere documenten in 1 keer met de automatische documentinvoer (ADF). Verstuur een fotoalbum of poster vanaf je smartphone via HP ePrint of Apple AirPrint direct naar de printer. Je deelt de printer binnen je netwerk, zo stuurt iedereen in huis zijn printopdrachten rechtstreeks door. Door zijn afmetingen is de printer ongeveer net zo groot als een boodschappenkrat, je plaatst de printer dan ook op een werkblad waar je voldoende ruimte hebt.","129,-","HP","G3J47A#A80","None","Inkjet","A3","4800 x 1200","15 ppm","8 ppm","0,256 GB","61,3 cm x 48,3 cm x 36,6 cm","13,02 kg"
Inkjetprinters,"Epson EcoTank ET-2750","De Epson EcoTank ET-2750 is een All-in-one inkjetprinter voor regelmatig thuisgebruik. Dankzij het inktsysteem gebruik je geen cartridges, maar vul je zelf inkt bij in de ingebouwde reservoirs. Print je 4 pagina's per dag, dan kun je 3 jaar vooruit met de meegeleverde inkt. Steek een geheugenkaart in het kaartslot en je print zonder tussenkomst van je computer. Download de iPrint app en je print draadloos vanaf je telefoon, tablet en computer. Je stuurt zelfs printopdracht via e-mail naar je printer zodat je onderweg print. Bij thuiskomst liggen je foto's en documenten voor je klaar. De printer heeft 2 aparte papierlades, één voor 20 vellen fotopapier en één lade voor 100 A4 vellen. Druk je vakantiefoto's of selfies af, dan kiest je printer vanzelf het juiste papier. Bovendien zijn je afbeeldingen gedetailleerd dankzij de hoge 1.200 bij 2.400 resolutie. En een kopie of scan is zo gemaakt dankzij de All-in-one functies.","349,-","Epson","C11CG22402","None","Inkjet","A4","5760 x 1440","10,5 ppm","5 ppm","None","37,5 cm x 34,7 cm x 18,7 cm","5,5 kg"
Inkjetprinters,"HP OfficeJet 200 Mobiele Printer (CZ993A)","Druk foto's en documenten af waar jij wilt met de HP OfficeJet 200 Mobiele Printer. Doordat deze draagbare printer werkt op een accu, heb je geen stopcontact nodig. De printer weegt maar 2,1 kg waardoor je hem zo met je meeneemt. Verstuur je printopdrachten zonder tussenkomst van een router dankzij wifi direct met een snelheid van 10 pagina's per minuut. Print je aantekeningen op dubbele snelheid in de draft modus.","239,-","HP","CZ993A","None","Inkjet","A4","1200 x 1200","10 ppm","7 ppm","0,128 GB","36,4 cm x 18,6 cm x 6,9 cm","2,2 kg"
Labelprinters,"DYMO LabelWriter 4XL","Druk streepjescodes, massamailing-, verzend-, magazijn- en identificatie-etiketten af tot 10,6 cm breed met de DYMO LabelWriter 4XL. Deze etikettenprinter is ideaal voor op het kantoor of in een commerciele omgeving. Met snelheden tot wel 129 etiketten per minuut (bij een adresetiket van 4 regels) druk je grotere volumes met alle gemak af met een afdrukkwaliteit van 300 dpi. Verder is de compacte DYMO LabelWriter 4XL ook nog eens kostenbesparend, want door de thermische printtechnologie heb je enkel etiketten nodig. Je hoeft geen geld uit te geven aan inkt/toner. De LabelWriter 4XL beschikt verder over meer dan 100 verschillende labelstijlen en ondersteunt 19 etiketformaten & -soorten. En om jou van nog meer gemak te voorzien, kan je ook adressen integreren vanuit jouw Microsoft Outlook- of Mac-adresboek. Daarnaast kan je ook direct etiketten afdrukken vanuit Microsoft Word, Excel, Outlook en CardScan.","239,-","Dymo","S0904950","None","None","None","300","None","None","None","17,8 cm x 18,7 cm x 13,4 cm","0,89 kg"
Labelprinters,"DYMO LabelManager 160","Een labelprinter in zijn puurste vorm: de DYMO LabelManager 160. Breng orde op je werkplek, in je keuken of in je dvd-collectie. Type met het toetsenbord hetgeen wat je af wilt drukken, bepaal de opmaak met behulp van de 5 speciale opmaakknoppen, controleer de tekst op het overzichtelijke lcd-scherm en druk het label af. Zo eenvoudig kan het zijn! De DYMO LabelManager 160 werkt op 6 AAA-alkalinebatterijen die niet worden meegeleverd. Je kan er ook voor kiezen om een optionele AC-adapter aan te schaffen voor permanente voeding.","33,99","Dymo","S0946310","None","None","None","None","None","None","None","11,8 cm x 20,3 cm x 4,9 cm","0,35 kg"
Laserprinters,"Xerox WorkCentre 6515DN","Met de Xerox WorkCentre 6515DN laserprinter print, scan, kopieer en fax je al je documenten binnen een groot kantoor. Door de LED technologie zitten er minder bewegende onderdelen in de printer wat ten goede komt aan de betrouwbaarheid. Maak gebruik van de automatische documentinvoer en print met een snelheid van 28 pagina's per minuut. Druk automatisch dubbelzijdig af en je bespaart ook nog eens op het papiergebruik. Je deelt daarnaast de printer bedraad via het netwerk zodat al je werknemers er bij kunnen. Of als je een Android smartphone hebt met NFC, dan is het zo simpel als, houdt de smartphone dichtbij de printer en je printtaak wordt draadloos verstuurd. Heb je een iPhone of iPad? Met Airprint verstuur ook jij draadloos je printjes naar de printer.","339,-","Xerox","6515V_DN","None","Led technologie","A4","2400 x 1200","28 ppm","28 ppm","None","50,6 cm x 42 cm x 50 cm","36,2 kg"
Inkjetprinters,"Canon MAXIFY MB5450","De Canon MAXIFY MB5450 is een zakelijke all-in-one inkjet printer geschikt voor een (thuis)kantoor. Beheer de printer op afstand en bekijk het inktniveau. Zo weet jij wanneer je deze bij moet vullen. Of bekijk het papierverbruik per gebruiker en stel beperkingen in waar nodig. Voer tekstdocument in de documentinvoer en kopieer ze automatisch dubbelzijdig, dus je draait je blaadjes niet handmatig 1 voor 1 om. Door de 'Access Point' mode maak je met je Android smartphone direct contact met de printer door deze dicht bij de printer te houden. En met 2 papierladen waar totaal 500 vellen ingaan, vul je minder vaak papier bij.","229,-","Canon","0971C030","None","Inkjet","A4","1200 x 600","24 ppm","15 ppm","None","46,3 cm x 39,4 cm x 29,1 cm","11,4 kg"
Inkjetprinters,"Brother MFC-J6530DW","Druk professioneel posters, flyers en affiches tot A3 formaat af in kleur met de Brother MFC-J6530DW. Deel deze printer via wifi en je print op afstand. Door de automatische documenteninvoer print, scan en fax je meerdere pagina's in 1 keer wat tijd bespaart. En met dubbelzijdig afdrukken bespaar je ook nog eens papier. Met een printsnelheid van 22 pagina's per minuut zijn je documenten klaar na je een kop koffie heb genomen. Heb je geen pc bij de hand? Gebruik dan het 6,8 cm grote kleuren touchscreen en voer je printtaken in op de printer.","159,-","Brother","MFCJ6530DWRF1","None","Inkjet","A3","4800 x 1200","22 ppm","20 ppm","0,128 GB","57,5 cm x 47,7 cm x 30,5 cm","19,6 kg"
Laserprinters,"Brother DCP-1612W","De Brother DCP-1612W is de geschikte printoplossing voor een thuiskantoor. Deze laserprinter drukt al je facturen en offertes in zwart-wit af met een snelheid van 20 pagina's per minuut. Het scannen of kopiëren van een documentje is ook mogelijk. Ben je binnen het bereik van je draadloos netwerk? Verstuur dan draadloos via de iPrint&Scan app vanaf je smartphone of tablet je printjes naar de printer toe. Ook zonder app is het nog steeds mogelijk je printtaken draadloos te versturen vanaf je laptop of pc met wifi. Heb je een laptop of pc dat geen wifi heeft? Sluit de printer dan aan via usb en print naar hartelust.","115,-","Brother","DCP1612WH1","None","Laser","A4","2400 x 600","20 ppm","None","0,032 GB","34 cm x 38,5 cm x 25,5 cm","7,2 kg"
Inkjetprinters,"Epson SureColor SC-P800","Print haarscherpe foto's tot A2+ formaat met de Epson SureColor SC-P800. Omdat de SC-P800 ook vanaf rolpapier kan printen, zijn de mogelijkheden vrijwel eindeloos. Met rolpapier maak je namelijk meterslange afdrukken. De 9 afzonderlijke cartridges zorgen voor een zeer goede kleurweergave, zodat zelfs de meest subtiele details niet aan het papier ontsnappen. De printer is te delen via wifi en ethernet zodat je eenvoudig draadloze opdrachten naar de fotoprinter stuurt.","1.189,-","Epson","C11CE22301BX","None","Inkjet","A2+","2880 x 1440","6 ppm","5 ppm","None","68,4 cm x 37,6 cm x 25 cm","26,4 kg"
Inkjetprinters,"HP ENVY Photo 7830 All-in-One","De HP ENVY Photo 7830 All-in-One is een uitgebreide inkjet thuisprinter voor veeleisende gebruikers. Dankzij de automatische documentinvoer (ADF) hoef je niet handmatig papier in te voeren. Sluit je printer aan via de netwerkkabel of gebruik wifi om de printer in je netwerk te delen en te printen vanaf elk apparaat. Of sluit een usb stick of externe harde schijf aan om direct documenten en foto's te printen. Via het 6,75 centimeter kleuren touchscreen stel je direct de instellingen naar eigen smaak in. Heeft je Android smartphone of tablet NFC? Houd deze dan dicht bij je printer om een printopdracht te sturen. Wil je papier besparen? Schakel dan dubbelzijdig printen in en je printer bedrukt automatisch beide zijden van je papier.","149,99","HP","Y0G50B","None","Inkjet","A4","4800 x 1200","15 ppm","10 ppm","0,256 GB","45,35 cm x 41 cm x 19,32 cm","7,6 kg"
Inkjetprinters,"Epson WorkForce Pro WF-5620DWF","Ook op een klein kantoor heb je een snelle printer nodig. De Epson WorkForce Pro WF-5620DWF kan snel printen, scannen, kopiëren en faxen. Dankzij de automatische documentinvoer gaat dit ook nog eens heel eenvoudig. Handig wanneer je regelmatig documenten wil scannen. Daarnaast heb je lage onderhoudskosten. Deze inkjet gebruikt namelijk minder energie en heeft lagere kosten per pagina dan vergelijkbare laserprinters.","199,-","Epson","C11CD08301","None","Inkjet","A4","4800 x 1200","20 ppm","20 ppm","None","46,1 cm x 44,2 cm x 34,2 cm","14,2 kg"
Inkjetprinters,"HP OfficeJet Pro 8740 All-in-One (D9L21A)","De HP OfficeJet Pro 8740 e-All-in-One (D9L21A) is een printer, scanner, fax en kopieerapparaat in één voor op een klein kantoor. Selecteer je scan- kopieer-, fax- en printinstellingen zonder tussenkomst van een pc in op het 10,9 cm grote touchscreen. Verbind je laptop of mobiel via wifi en print automatisch dubbelzijdig en benut je beide kanten van het papier. Dankzij de dubbelzijdige automatische documenteninvoer (DADF) scan en kopieer je tot 50 documenten in één moeite dubbelzijdig. Scan kwetsbare documenten in met de ingebouwde flatbedscanner.","309,-","HP","D9L21A#620","None","Inkjet","A4","1200 x 1200","24 ppm","20 ppm","0,512 GB","49,95 cm x 43,9 cm x 41 cm","18,46 kg"
Inkjetprinters,"Epson WorkForce WF-2630WF","De Epson WorkForce WF-2630WF is een printer, scanner, kopieerapparaat en fax in 1. Doordat hij compact is, bespaar je ruimte op je bureau. Met de Epson Connect app kun je makkelijk vanaf smartphone, tablet of pc printopdrachten naar de printer versturen. Gemakkelijk wanneer je met meerdere mensen gebruik wilt maken van deze printer. Doordat de WF-2630WF over een automatische documentinvoer voor 30 pagina's (ADF) beschikt, scan en kopieer je snel alle gewenste documenten. Deze WorkForce is dus een goede keus voor de thuisgebruiker die gemiddeld minder dan 10 pagina's per dag print, maar de printer wel vanaf verschillende apparaten wil kunnen bedienen.","74,99","Epson","C11CE36402","None","Inkjet","A4","1440 x 5760","9 ppm","4,7 ppm","None","38,1 cm x 35,56 cm x 20,32 cm","5,44 kg"
Laserprinters,"HP Color LaserJet Pro M452dn","Print razendsnel dubbelzijdig documenten met de HP Color LaserJet Pro M452dn. Deze printer heeft een printsnelheid van 28 pagina's per minuut en is bedraad via je modem te delen. Dit maakt de M452dn geschikt voor gebruik op kantoor. Heb je die ene belangrijke presentatie op je mobiel of tablet staan? Via de HP ePrint app verstuur je eenvoudig printopdrachten naar de printer vanaf mobiele apparaten. Zo hoef je nooit meer eerst je pc aan te zetten om iets te printen.","289,-","HP","CF389A","None","Laser","A4","600 x 600","27 ppm","27 ppm","None","41,2 cm x 46,9 cm x 29,5 cm","18,9 kg"
Laserprinters,"HP LaserJet Pro MFP M130fw","Met deze HP LaserJet Pro MFP M130fw laserprinter op je (thuis)kantoor druk je al je opdrachten of aantekeningen eenvoudig af in zwart-wit. Dit gebeurt met een snelheid van 22 pagina's per minuut. Verstuur je printtaken draadloos via het wifi netwerk. Of maak direct draadloos contact met de printer met je smartphone of tablet door middel van wifi direct. Voer via het 6,9 cm kleuren touchscreen de gewenste instellingen in als je laptop of pc al uit staat. Door de automatische documentinvoer hoef je niet handmatig je contracten of facturen in te voeren. En met een oppervlakte zo groot als een houten snijplank is de printer te plaatsen op krappe werkplekken. De toner is voorgeïnstalleerd, dus sluit de printer aan via usb of wifi en je print vrijwel direct.","189,-","HP","G3Q60A#B19","None","Laser","A4","600 x 600","22 ppm","None","0,256 GB","41,51 cm x 28,8 cm x 28 cm","7,6 kg"
Laserprinters,"HP LaserJet Enterprise M609DN","De HP LaserJet Enterprise M609DN is een zakelijke laserprinter voor grote bedrijven en het MKB. De ingebouwde software controleert regelmatig of je printer veilig is van hackaanvallen en virussen via het netwerk. Daarbij word je direct op de hoogte gebracht wanneer er zich beveiligingsproblemen voordoen. Met een printsnelheid van 75 pagina's per minuut hoef je niet lang te wachten tot je document geprint is. En met de lage opstarttijd duurt het maar 7,8 seconde tot de eerste pagina afdrukt. Ook vervang je minder vaak papier dankzij 2 invoerladen voor A4 papier.","1.159,-","HP","K0Q21A","None","Laser","A4","1200 x 1200","75 ppm","None","0,512 GB","43 cm x 46,6 cm x 38 cm","21,6 kg"
Inkjetprinters,"Epson WorkForce Pro WF-3720DWF","Professionaliseer je werkplek met de Epson WorkForce Pro WF-3720DWF inkjet printer. Schaf met 1 apparaat een printer, scanner, kopieer- en faxmachine aan. Maak draadloos contact met de printer via je smartphone of tablet en verstuur zo je printjes zonder dat je de pc aanzet. Scan direct al je facturen en contracten in en bewaar ze via de Epson Connect app in de cloud. Zo weet jij zeker dat je altijd bij je documenten kunt vanaf een pc of smartphone met internet waar ook ter wereld. Dankzij de automatische documentinvoer bespaar je tijd doordat je niet stuk voor stuk je documenten invoert.","129,-","Epson","C11CF24402","None","Inkjet","A4","4800 x 1200","20 ppm","10 ppm","None","42,5 cm x 37,8 cm x 24,9 cm","9,1 kg"
Laserprinters,"Brother DCP-1610W","De Brother DCP-1510 is een compacte all-in-one voor thuis of een klein kantoor, en met name geschikt wanneer je vooal tekstdocumenten wil printen. Met een afdruksnelheid van 20 pagina's per minuut en een afdrukresolutie van 2.400 x 600 dpi ben je altijd verzekerd van snelle en scherpe tekstafdrukken. Dankzij het compacte design en de optie draadloos opdrachten te versturen, is de printer eenvoudig op een bureau of in een kast te plaatsen.

De juiste toners voor deze printer","107,99","Brother","DCP-1610W","None","Laser","A4","2400 x 600","20 ppm","None","0,032 GB","38,5 cm x 34 cm x 25,5 cm","9 kg"
Inkjetprinters,"Canon PIXMA iP110 incl. accu","De Canon PIXMA iP110 incl. Accu is een draagbare kleurenprinter voor onderweg. Deze compacte printer van slechts 2 kg past prima in je laptoptas. De hoge afdrukresolutie maakt de printer geschikt voor het afdrukken van foto's. Met wifi kun je direct vanaf je tablet of smartphone printen.Deze printer wordt standaard met accu geleverd.","299,-","Canon","9596B029","None","Inkjet","A4","9600 x 2400","9 ppm","5,8 ppm","None","32,2 cm x 18,5 cm x 6,2 cm","2 kg"
Inkjetprinters,"Epson WorkForce Pro WF-6590DTWFC","De Epson WorkForce Pro WF-6590DTWFC is een zakelijke printer die in een groot kantoor goed tot zijn recht komt. Print-, scan-, kopieer- en faxtaken verstuur je via wifi, wat betekent dat je de printer overal binnen je kantoor plaatst. De papierlade heeft een capaciteit van 1.000 vellen en met de XXL inktcartridges behaal je zelfs tot 10.000 afdrukken in zwart en 7.000 afdrukken in kleur. Heb je een Android smartphone of tablet met NFC? Houd je apparaat naast de printer en verstuur, zonder op een netwerk te zitten, je printopdrachten draadloos ernaar toe. Wil je nog snel even een belangrijk document printen? Binnen 7 seconden ligt het printje voor je klaar.","1.044,-","Epson","C11CD49301BR","None","Inkjet","A4","4800 x 1200","24 ppm","24 ppm","None","51,6 cm x 52,2 cm x 117,5 cm","49,2 kg"
Inkjetprinters,"HP DeskJet 3637","De HP Deskjet 3637 All-in-One inkjetprinter is een basis printer waarmee je heel af en toe thuis tickets of afbeeldingen print, scant of kopieert. De printer heeft wifi ingebouwd om draadloos printopdrachten te sturen vanaf je smartphone, tablet of computer. En dankzij de randloze printoptie rollen foto's over het gehele papier bedekt je printer uit. Wil je een kopie maken van bijvoorbeeld een brief of paspoort, dan kies je via de drukknopjes en het schermpje het aantal kopieën. Werk jij tot in de late uurtjes aan projecten en druk je deze later af? Zet dan de printer in de 'Stille modus' en maak je prints zonder dat je het huishouden wakker maakt.","42,99","HP","K4U01B#623","None","Inkjet","A4","4800 x 1200","8,5 ppm","6 ppm","None","43,8 cm x 31 cm x 15,8 cm","4,17 kg"
