product_type,product_name,product_desc,product_price,product_brand,product_model,product_printertype,product_tech,product_maxsize,product_maxres,product_bwspeed,product_cspeed,product_memory,product_dimensions,product_weight
Inkjetprinters,"Canon PIXMA MX925","De Canon PIXMA MX925 kan printen, scannen, kopiëren en faxen. Print rechtstreeks vanaf je pc, laptop, tablet of smartphone via wifi. De printresolutie van 9600 x 2400 maakt deze All-in-One geschikt om foto's af te drukken. De MX925 heeft direct toegang tot het web, zodat je foto's rechtstreeks uit je online albums kunt printen. Met de automatische documentinvoer scan, kopieer of fax tot 35 vel per keer dubbelzijdig.","158,99","Canon","6992B009","None","Inkjet","A4","9600 x 2400","12,5 ppm","10 ppm","None","49,1 cm x 39,6 cm x 23,1 cm","11,7 kg"
Inkjetprinters,"Epson EcoTank ET-2650","Vervang niet meer na 100 afdrukken de cartridges met de Epson EcoTank ET-2650 inkjetprinter. Met deze printer druk je tot 4.000 zwart-wit of 6.500 pagina's in kleur. Bij een vergelijkbare printer heb je op dat moment al twintig keer de cartridges vervangen. Als de inkt op is dan vul je zelf de inkt bij met inktflessen. Dankzij wifi-direct maak je rechtstreeks contact met de printer met je smartphone of tablet zonder gebruik te maken van een wifi netwerk. En verstuur je met de Epson Connect app op je smartphone of tablet je printtaken naar de printer. Hierdoor stuur je je printtaken zelfs als het wifi bereik slecht is. De EcoTank ET-2600 is een all-in-one printer wat betekent dat je naast printen ook facturen inscant en bonnetjes kopieert.","259,-","Epson","C11CF47402","None","Inkjet","A4","5760 x 1440","33 ppm","15 ppm","None","44,5 cm x 30,4 cm x 16,9 cm","5 kg"
3D-printers,"Ultimaker 3","Met de Ultimaker 3 Extended maak je complexe wiskundige figuren en 3D-maquettes dankzij 2 printkoppen. Mix 2 verschillende kleuren filament en maak meerkleurige reserve onderdelen voor bijvoorbeeld je auto of motor. Het is niet nodig om naast je 3D-printer te staan om je creaties te printen. Je verstuurt je bestanden rechtstreeks via wifi. Doordat de printer automatisch herkent welk filament je bevestigd door middel van NFC, begin je meteen met printen. Creëer met de Ultimaker 3 prototypes van 215 x 215 x 200 mm groot met een laagdikte van 20 tot 200 micron. Ten opzichte van de Ultimaker 2 en 2+ maak je gedetaillleerdere- en grotere objecten. En doordat je niet alleen de spuitmonden, maar ook de gehele printkop verwisselt, zorgt Ultimaker ervoor dat je makkelijker van filament verandert. De behuizing is half open, zodat je hem het beste in een geventileerde ruimte plaatst om geen last te krijgen van de geur van verbrand plastic.","3.599,-","Ultimaker","9670","None","None","None","None","None","None","None","49,3 cm x 33,8 cm x 58,8 cm","10,6 kg"
Inkjetprinters,"Brother MFC-J5730DW","Print posters en banners op A3 formaat met de Brother MFC-J5730DW all-in-one. Hierdoor is hij geschikt voor een (kleine) printshop. Win tijd door automatisch dubbelzijdig te scannen en kopiëren. Je netwerkbeheerder ontvangt mailtjes van de printer zodra het papier of de cartridge bijna op is. Zo zorg je ervoor dat je printer altijd te gebruiken is. Gebruik het 9,3 cm grote kleuren touchscherm om print- of scaninstellingen aan te passen zonder tussenkomst van je pc. Maak direct verbinding met de printer dankzij wifi direct en stuur je printjes op korte afstand. Hierdoor druk je toch je printjes af zonder in te loggen op het wifi netwerk. Bespaar papier door dubbelzijdig te printen. En met twee papierladen van ieder 250 vellen vul je minder vaak papier bij.","170,10","Brother","MFCJ5730DWRF1","None","Inkjet","A3","4800 x 1200","35 ppm","27 ppm","0,256 GB","53 cm x 39,8 cm x 37,4 cm","20,6 kg"
Inkjetprinters,"HP OfficeJet Pro 8715 e-All-in-One (J6X76A)","De HP OfficeJet Pro 8715 e-All-in-One is een printer, scanner, fax en kopieerapparaat in één voor gebruik op een klein kantoor. Op het 6,6 centimeter grote touchscreen selecteer je meteen je gewenste printinstellingen. Kies je prints op je smartphone of laptop en verstuur ze via wifi om af te drukken. Het apparaat heeft een dubbelzijdige automatische documenteninvoer (DADF), waardoor je beide zijden van een document scant en kopieert. Met een capaciteit van 50 documenten ga in één moeite door. Bovendien print je dubbelzijdig om papier te besparen. Fragiele documenten scan je in via de ingebouwde flatbedscanner.","168,-","HP","K7S37A#BHC","None","Inkjet","A4","1200 x 1200","22 ppm","18 ppm","0,128 GB","49,95 cm x 40,48 cm x 33,91 cm","11,54 kg"
Inkjetprinters,"HP OfficeJet Pro 6960 e-All-in-One (J7K33A)","De HP OfficeJet Pro 6960 e-All-in-One (J7K33A) is een printer, scanner, fax- en kopieerapparaat in één voor op een klein kantoor. Dankzij 3 maanden gratis HP Instant Ink ben je direct voorzien van inkt. Selecteer je scan- kopieer-, fax- en printinstellingen op het grote touchscreen, of op afstand via wifi. De printer print automatisch dubbelzijdig, daardoor benut je beide kanten van het papier. Met de automatische documenteninvoer (ADF) scan en kopieer je tot 35 documenten in één keer. Fragiele documenten scan je in via de ingebouwde flatbedscanner.","119,-","HP","T0F32A#BHC","None","Inkjet","A4","1200 x 600","18 ppm","10 ppm","1 GB","46,4 cm x 39 cm x 22,9 cm","8,05 kg"
Laserprinters,"HP Color LaserJet Pro M252dw","De HP Color LaserJet Pro MFP M252dw is een printer voor werkgroepen tot 10 personen. Diverse functies maken deze printer geschikt voor zakelijk gebruik. Zo print je automatisch dubbelzijdig, en print je tot een snelheid van 18 pagina's per minuut. Wil je liever niet dat anderen je printopdracht te zien krijgen? Met behulp van een pincode kun je jouw printopdrachten vergrendelen, totdat je zelf bij de printer bent.

De juiste toners voor deze printer","239,-","HP","B4A22A#B19","None","Laser","A4","600 x 600","18 ppm","18 ppm","None","39,2 cm x 41,2 cm x 23,62 cm","12,2 kg"
Laserprinters,"Xerox WorkCentre 6515DNI","Met de Xerox WorkCentre 6515DNI laserprinter print, scan, kopieer en fax je al je documenten binnen een groot kantoor. Doordat de printer wifi heeft verstuur jij eenvoudig je printjes draadloos naar de printer. Door de LED technologie zitten er minder bewegende onderdelen in de printer wat ten goede komt aan de betrouwbaarheid. Maak gebruik van de automatische documentinvoer en print met een snelheid van 28 pagina's per minuut. Druk automatisch dubbelzijdig af en je bespaart ook nog eens op het papiergebruik. Heb je een Android smartphone met NFC? Houdt de smartphone dichtbij de printer en je printtaak wordt draadloos verstuurd. Heb je een iPhone of iPad? Met Airprint verstuur jij ook draadloos je printjes naar de printer.","349,-","Xerox","6515V_DNI","None","Led technologie","A4","2400 x 1200","28 ppm","28 ppm","2 GB","50,6 cm x 42 cm x 50 cm","36,2 kg"
3D-printers,"Ultimaker 2+","Maak gedetailleerde actiefiguurtjes tot aan eenvoudige telefoonhoesjes met de Ultimaker 2+. Importeer het te printen model en de software toont je hoeveel tijd en materiaal de print kost. De 4 verwisselbare mondstukken van de 2+ vormen het verschil met de Ultimaker 2. Hiermee wissel je nog eenvoudiger tussen hoge kwaliteit en snelle prints. Varieer met laagdiktes van 20 tot 600 micron en voorkom dat de spuitmond verstopt raakt met de verwisselbare mondstukken. Zo print je snel een prototype van een laptopstandaard of juist een gedetailleerde recreatie van een schedel. Heb je een specifieke vraag of zoek je een specifiek ontwerp? De Ultimaker community is 1 van de grootste op het gebied van 3D-printen. Hierdoor is de printer voortdurend in ontwikkeling en krijg je altijd snel hulp.","2.299,-","Ultimaker","9620","None","None","None","None","None","None","None","49,3 cm x 34,2 cm x 58,8 cm","11,3 kg"
Inkjetprinters,"Brother MFC-J4620DW","De Brother MFC-J4620DW is een all-in-one A3 printer. Met een afmeting van 48 x 29 x 18,8 cm is deze printer écht compact. Met de mogelijkheid vanaf je smartphone, usb-stick, tablet of pc opdrachten te versturen het flexibel centrum van jouw (thuis)kantoor. Dankzij het touchscreen en de automatische documentinvoer is de printer ook makkelijk te gebruiken als je geen printofiel bent. De lage kosten per pagina maken het kopen van nieuwe cartridges een stuk minder pijnlijk.","163,99","Brother","MFCJ4620DWH1","None","Inkjet","A3","6000 x 1200","22 ppm","20 ppm","0,128 GB","48 cm x 29 cm x 18,8 cm","6,2 kg"
3D-printers,"Ultimaker 3 Extended","Met de Ultimaker 3 Extended maak je complexe wiskundige figuren en 3D-maquettes dankzij 2 printkoppen. Mix 2 verschillende kleuren filament en maak meerkleurige reserve onderdelen voor bijvoorbeeld je auto of motor. Het is niet nodig om naast je 3D-printer te staan om je creaties te printen. Je verstuurt je bestanden rechtstreeks via wifi. Doordat de printer automatisch herkent welk filament je bevestigd door middel van NFC, begin je meteen met printen. Creëer met de Ultimaker 3 prototypes van 215 x 215 x 300 mm groot met een laagdikte van 20 tot 200 micron. Ten opzichte van de Ultimaker 2 en 2+ maak je gedetaillleerdere- en vooral hogere objecten. En doordat je niet alleen de spuitmonden, maar ook de gehele printkop verwisselt, zorgt Ultimaker ervoor dat je makkelijker van filament verandert. De behuizing is half open, zodat je hem het beste in een geventileerde ruimte plaatst om geen last te krijgen van de geur van verbrand plastic.","4.469,-","Ultimaker","9675","None","None","None","None","None","None","None","49,3 cm x 33,8 cm x 68,8 cm","11,3 kg"
