product_type,product_name,product_price,product_brand,product_model,product_mousemodel,product_lr,product_buttons,product_sensor,product_dpi,product_connection,product_os,product_dimensions,product_color
Gaming muizen,"Roccat Kone EMP Gaming Muis","79,99","Roccat","ROC-11-812","None","Rechtshandig","7 knoppen","Optisch","None","Bedraad","Ja","7,7 cm x 13,1 cm x 4,2 cm","Zwart"
Gaming muizen,"SteelSeries Rival 500","89,99","SteelSeries","62051","None","Rechtshandig","15 knoppen","Optisch","None","Bedraad","Ja","7,8 cm x 11,8 cm x 4,3 cm","Oranje"
Gaming muizen,"Speedlink Ledos Wit","26,99","Speedlink","144418","None","Rechtshandig","5 knoppen","Optisch","None","Bedraad","Ja","16,4 cm x 7,5 cm x 24,5 cm","Rood"
Gaming muizen,"SteelSeries Rival 700","94,99","SteelSeries","62331","None","Rechtshandig","7 knoppen","Optisch","None","Bedraad","Ja","6,8 cm x 12,5 cm x 4,2 cm","Zwart"
Gaming muizen,"Trust GXT 162","36,99","Trust","21186","None","Rechtshandig","9 knoppen","Optisch","None","Bedraad","Ja","8,3 cm x 13,4 cm x 4 cm","Rood"
Muizen,"Logitech M535 Bluetooth Muis Grijs","49,99","Logitech","910-004530","Compact","Linkshandig, Rechtshandig","4 knoppen","Optisch","None","Draadloos","Nee","6,11 cm x 10,05 cm x 3,3 cm","Grijs"
Muizen,"Microsoft Arc Touch Mouse Surface Edition Blauw","89,99","Microsoft","CZV-00052","Full-size","Linkshandig, Rechtshandig","2 knoppen","Laser","None","Draadloos","Nee","5,7 cm x 13 cm x 1,45 cm","Blauw"
Muizen,"Logitech MX Ergo Draadloze Muis Zwart","109,-","Logitech","910-005179","Full-size","Rechtshandig","9 knoppen","Trackball","None","Draadloos","Nee","9,98 cm x 13,25 cm x 5,14 cm","Zwart"
Gaming muizen,"Asus Cerberus Gaming Muis","59,90","Asus","90YV0A84-M0NA00","None","Linkshandig, Rechtshandig","6 knoppen","Optisch","None","Bedraad","Ja","None x None x None","Rood"
Gaming muizen,"Razer Basilisk Gaming Muis","69,99","Razer","RZ01-02330100-R3G1","None","Rechtshandig","8 knoppen","Optisch","None","Bedraad","Ja","7,5 cm x 12,4 cm x 4,3 cm","Groen"
Muizen,"Trust Siano Draadloze Bluetooth Muis","21,99","Trust","20403","Compact","Linkshandig, Rechtshandig","4 knoppen","Optisch","None","Draadloos","Nee","6,6 cm x 3,9 cm x 10,9 cm","Zwart"
Gaming muizen,"Trust GXT 154 FALX Gaming Muis","29,99","Trust","21835","None","Rechtshandig","7 knoppen","Optisch","None","Bedraad","Ja","8,8 cm x 13,7 cm x 4,1 cm","Wit"
Muizen,"Logitech M220 Silent Draadloze Muis Zwart","21,99","Logitech","910-004878","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","9,9 cm x 3,9 cm x 6 cm","Zwart"
Muizen,"HP Draadloze Muis 200 Zwart","21,99","HP","X6W31AA #ABB","Compact","Linkshandig, Rechtshandig","2 knoppen","Optisch","None","Draadloos","Nee","5,85 cm x 9,5 cm x 3,4 cm","Zwart"
Muizen,"Microsoft Basic Optical Mouse Zwart","21,98","Microsoft","P58-00059","Full-size","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Bedraad","Nee","5,79 cm x 11,34 cm x 3,92 cm","Zwart"
Muizen,"Logitech MX Anywhere 2S Draadloze Mobiele Muis Zwart","89,99","Logitech","910-005153","Compact","Linkshandig, Rechtshandig","7 knoppen","Laser","None","Draadloos","Ja","6,1 cm x 10,3 cm x 3,4 cm","Zwart"
Muizen,"Microsoft Wireless Mobile Mouse 1850","21,99","Microsoft","U7Z-00004","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","5,81 cm x 10 cm x 3,82 cm","Zwart"
Muizen,"Trust Vergo Draadloze Ergonomische Muis","49,99","Trust","21722","Full-size","Rechtshandig","9 knoppen","Optisch","None","Draadloos","Nee","9,14 cm x 15,4 cm x 5,66 cm","Zwart"
Muizen,"Rapoo 3910 Draadloze Muis Zwart","29,99","Rapoo","3910 BL","Compact","Rechtshandig","4 knoppen","Laser","None","Draadloos","Nee","10,4 cm x 6,8 cm x 4,1 cm","Zwart"
Muizen,"Microsoft Arc Touch Bluetooth Muis","67,-","Microsoft","7MP-00013","Compact","Linkshandig, Rechtshandig","None","Optisch","None","Draadloos","Nee","5,7 cm x 13 cm x 1,45 cm","None"
Muizen,"Microsoft Sculpt Comfort Mouse","39,99","Microsoft","H3S-00002","Full-size","Rechtshandig","4 knoppen","Laser","None","Draadloos","Nee","6,85 cm x 11,1 cm x 3,65 cm","Zwart"
Muizen,"HP Z4000 Draadloze Muis Zwart","24,99","HP","H5N61AA","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","6,46 cm x 10,1 cm x 2,5 cm","Zwart"
Gaming muizen,"BenQ Zowie EC2-A White (Small)","64,99","BenQ","9H.N0RBB.A3E","None","Rechtshandig","5 knoppen","Optisch","None","Bedraad","Ja","6,4 cm x 12 cm x 4 cm","Wit"
Muizen,"Microsoft Wireless Mouse 900","32,99","Microsoft","PW4-00004","Full-size","Linkshandig, Rechtshandig","2 knoppen","Optisch","None","Draadloos","Nee","6,312 cm x 11,33 cm x 4,41 cm","Zwart"
Muizen,"Microsoft Wireless Mobile Mouse 3600 Zwart","34,99","Microsoft","PN7-00004","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","9,53 cm x 5,69 cm x 4,04 cm","Zwart"
Muizen,"Trust MaxTrack Wireless Mouse","27,99","Trust","17176","Full-size","Rechtshandig","6 knoppen","Laser","None","Draadloos","Nee","7,9 cm x 13 cm x 4,2 cm","Zwart, Zilver"
Gaming muizen,"Razer Orochi","69,-","Razer","125330","None","Linkshandig, Rechtshandig","7 knoppen","Laser","None","Bedraad, Draadloos","Ja","6,7 cm x 9,9 cm x 3,5 cm","None"
Muizen,"Microsoft Arc Touch Mouse Zwart","62,99","Microsoft","RVF-00050","Full-size","Linkshandig, Rechtshandig","2 knoppen","Laser","None","Draadloos","Nee","5,88 cm x 11,1 cm x 3,65 cm","Zwart"
Muizen,"Microsoft Designer Bluetooth Mouse","34,99","Microsoft","7N5-00004","Compact","Linkshandig, Rechtshandig","2 knoppen","Optisch","None","Draadloos","Nee","6 cm x 10,7 cm x 1,5 cm","Zwart"
Muizen,"Rapoo T8 Draadloze Laser Touch Muis Wit","49,99","Rapoo","T8W","Full-size","Linkshandig, Rechtshandig","None","Laser","None","Draadloos","Nee","0,65 cm x 1,13 cm x 0,29 cm","Wit"
Muizen,"Microsoft Surface Mouse SC Bluetooth Grijs","54,99","Microsoft","WS3-00002","Compact","Linkshandig, Rechtshandig","None","Optisch","None","Draadloos","Nee","6,416 cm x 11,516 cm x 3,376 cm","Grijs"
Muizen,"R-Go HE Mouse Verticale Muis Rechts draadloos","79,99","R-Go Tools","RGOHEWL","Compact","Rechtshandig","4 knoppen","Laser","None","Draadloos","Nee","8,3 cm x 10,5 cm x 7,6 cm","Zwart"
Muizen,"HP Wireless Mouse X3000 Blauw","21,99","HP","N4G63AA","Compact","Linkshandig, Rechtshandig","2 knoppen","Optisch","None","Draadloos","Nee","9,5 cm x 5,7 cm x 3,9 cm","Blauw"
Gaming muizen,"Corsair M65 Pro RGB Zwart","69,99","Corsair","CH-9300011-EU","None","Rechtshandig","8 knoppen","Optisch","None","Bedraad","Ja","7,2 cm x 11,8 cm x 3,9 cm","Zwart"
