product_type,product_name,product_price,product_brand,product_model,product_screen,product_screenres,product_response,product_brightness,product_refresh,product_screentype,product_connection,product_dimensions,product_weight
Monitoren,"Samsung LU28E570DS/EN","349,-","Samsung","LU28E570DS/EN","28 inch","3840 x 2160 pixels","1 ms","None","60 Hz","TN paneel","HDMI, DisplayPort, Hoofdtelefoon","66,09 cm x 18,71 cm x 46,9 cm","5,28 kg"
Monitoren,"LG 25UM58","169,-","LG","25UM58","25 inch","2560 x 1080 pixels","5 ms","None","75 Hz","IPS paneel","HDMI, Hoofdtelefoon","60,9 cm x 18,8 cm x 38,3 cm","4 kg"
Monitoren,"Acer K222HQLbid","99,-","Acer","UM.WW3EE.005","22 inch","1920 x 1080 pixels","5 ms","None","60 Hz","TN paneel","HDMI, VGA, DVI","50,8 cm x 20,7 cm x 39,1 cm","3,6 kg"
Monitoren,"BenQ GW2470H","129,-","BenQ","9H.LDMLB.QBE","24 inch","1920 x 1080 pixels","4 ms","None","75 Hz","AMVA paneel","HDMI, VGA","55,3 cm x 18,9 cm x 42,5 cm","4 kg"
Monitoren,"Philips 273V7QDAB","189,-","Philips","273V7QDAB","27 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, DVI, Hoofdtelefoon","61,2 cm x 22,7 cm x 54 cm","4,5 kg"
Monitoren,"BenQ Zowie XL2411","259,-","BenQ","9H.LELLB.RBE","24 inch","1080 x 1920 pixels","1 ms","None","144 Hz","TN paneel","HDMI, VGA, DVI","57 cm x 34,84 cm x 63,26 cm","6 kg"
Monitoren,"Philips 243V5LHAB","119,-","Philips","243V5LHAB/00","24 inch","1920 x 1080 pixels","1 ms","None","60 Hz","TN paneel","HDMI, VGA, DVI","55,1 cm x 22 cm x 42 cm","3,66 kg"
Monitoren,"HP EliteDisplay E240","229,-","HP","M1N99AT#ABB","24 inch","1920 x 1080 pixels","7 ms","None","60 Hz","IPS paneel","HDMI, VGA, DisplayPort, USB-type A","55,72 cm x 18,9 cm x 35,91 cm","5,8 kg"
Monitoren,"Asus VC239H","139,-","Asus","90LM01E0-B02170","23 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, DVI","53,32 cm x 19,96 cm x 37,32 cm","5,2 kg"
Monitoren,"LG 27UD68-P","449,-","LG","27UD68P","27 inch","3840 x 2160 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, DisplayPort","61,5 cm x 25,24 cm x 41,77 cm","6,7 kg"
Monitoren,"iiyama G-Master Black Hawk GE2488HS-B2","149,-","Iiyama","GE2488HS-B2","24 inch","1920 x 1080 pixels","1 ms","None","75 Hz","TN paneel","HDMI, VGA, DVI, Hoofdtelefoon","56,8 cm x 21,75 cm x 40,9 cm","3,5 kg"
Monitoren,"Samsung S22F350FHU","122,-","Samsung","LS22F350FHUXEN","22 inch","1920 x 1080 pixels","5 ms","None","60 Hz","TN paneel","HDMI, VGA","50,86 cm x 20,65 cm x 39,54 cm","2,8 kg"
Monitoren,"iiyama G-Master Black Hawk G2530HSU-B1","159,-","Iiyama","G2530HSU-B1","24,5 inch","1920 x 1080 pixels","1 ms","None","75 Hz","TN paneel","HDMI, VGA, DisplayPort, USB","None x 19,7 cm x 40,1 cm","4 kg"
Monitoren,"iiyama ProLite B2783QSU-B1","329,-","Iiyama","B2783QSU-B1","27 inch","2560 x 1440 pixels","1 ms","None","60 Hz","TN paneel","HDMI, DVI, DisplayPort, Hoofdtelefoon, USB-type A","62,25 cm x 23 cm x 53,05 cm","6,1 kg"
Monitoren,"Philips 272S4LPJCB","279,-","Philips","272S4LPJCB/00","27 inch","2560 x 1440 pixels","2 ms","None","60 Hz","TN paneel","HDMI, VGA, DVI, DisplayPort, Hoofdtelefoon","63,9 cm x 24,4 cm x 54 cm","6,72 kg"
Monitoren,"iiyama ProLite X2474HS-B1","129,-","Iiyama","X2474HS-B1","24 inch","1920 x 1080 pixels","4 ms","None","75 Hz","VA paneel","HDMI, VGA, DisplayPort","54,7 cm x 17,7 cm x 40,5 cm","3,2 kg"
Monitoren,"AOC U2777PQU","449,-","AOC","U2777PQU","27 inch","3840 x 2160 pixels","4 ms","None","60 Hz","IPS paneel","HDMI, VGA, DVI, DisplayPort, Hoofdtelefoon, USB-type A","61,49 cm x 19,43 cm x 53,12 cm","7,3 kg"
Monitoren,"iiyama B2483HS-B1","179,-","Iiyama","B2483HS-B1","24 inch","1920 x 1080 pixels","1 ms","None","60 Hz","TN paneel","HDMI, VGA, DVI, Hoofdtelefoon","56,55 cm x 23 cm x 38,65 cm","5,1 kg"
Monitoren,"BenQ BL2420PT","249,-","BenQ","9H.LCWLA.TBE","24 inch","2560 x 1440 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, DVI, DisplayPort, Hoofdtelefoon, USB-type A","56,32 cm x 23,95 cm x 52,49 cm","7 kg"
Monitoren,"LG 29UB67","279,-","LG","29UB67-P","29 inch","2560 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, DVI, DisplayPort, USB-type A","70,3 cm x 25,23 cm x 40,4 cm","8,6 kg"
Monitoren,"HP EliteDisplay E232","219,-","HP","M1N98AT","23 inch","1920 x 1080 pixels","7 ms","None","60 Hz","IPS paneel","HDMI, VGA, DisplayPort, USB-type A","54,93 cm x 4,96 cm x 33,69 cm","3,63 kg"
Monitoren,"LG 22M47VQ","109,-","LG","22M47VQ-P","22 inch","1920 x 1080 pixels","2 ms","None","60 Hz","TN paneel","HDMI, VGA, DVI, Hoofdtelefoon","51 cm x 19,7 cm x 40,9 cm","2,6 kg"
Monitoren,"iiyama ProLite X2783HSU-B1","189,-","Iiyama","X2783HSU-B1","27 inch","1920 x 1080 pixels","4 ms","None","75 Hz","VA paneel","HDMI, VGA, DVI, Hoofdtelefoon, USB-type A","62,25 cm x 21,8 cm x 44,6 cm","4,4 kg"
Monitoren,"AOC E2275PWJ","129,-","AOC","E2275PWJ","22 inch","1920 x 1080 pixels","2 ms","None","60 Hz","TN paneel","HDMI, VGA, DVI, Hoofdtelefoon","50,4 cm x 21,3 cm x 46,9 cm","4,8 kg"
Monitoren,"LG 34UM58-P","319,-","LG","34UM58-P","34 inch","2560 x 1080 pixels","5 ms","None","75 Hz","IPS paneel","HDMI, Hoofdtelefoon","83 cm x 21,32 cm x 46,07 cm","6,8 kg"
Monitoren,"Samsung LC24F396FHUXEN","189,-","Samsung","LC24F396FHUXEN","24 inch","1920 x 1080 pixels","4 ms","None","60 Hz","VA paneel","HDMI, VGA, Hoofdtelefoon","54,76 cm x 18,16 cm x 41,7 cm","4 kg"
Monitoren,"Acer K242HQLCbid","119,-","Acer","UM.UX6EE.C01","24 inch","1920 x 1080 pixels","1 ms","None","60 Hz","TN paneel","HDMI, VGA, DVI","56,7 cm x 21,8 cm x 41,2 cm","4,2 kg"
Monitoren,"Philips 273V5LHAB","169,-","Philips","273V5LHAB","27 inch","1920 x 1080 pixels","1 ms","None","60 Hz","TN paneel","HDMI, VGA, DVI, Hoofdtelefoon","6,46 cm x 2,4 cm x 4,71 cm","4,53 kg"
Monitoren,"Philips 237E7QDSB","129,-","Philips","237E7QDSB/00","23 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, DVI, Hoofdtelefoon","53,32 cm x 21,3 cm x 41,4 cm","3,21 kg"
Monitoren,"AOC U3277PWQU","449,-","AOC","U3277PWQU","32 inch","3840 x 2160 pixels","4 ms","None","60 Hz","AMVA paneel","HDMI, VGA, DVI, DisplayPort, Hoofdtelefoon, USB-type A","85,8 cm x 17,12 cm x 57,5 cm","11,51 kg"
Monitoren,"iiyama ProLite E2283HS-B1","119,-","Iiyama","E2283HS-B1","22 inch","1920 x 1080 pixels","1 ms","None","75 Hz","TN paneel","HDMI, VGA, DVI, Hoofdtelefoon","50,5 cm x 19,3 cm x 38,25 cm","3 kg"
Monitoren,"HP 22es","144,-","HP","T3M70AA#ABB","22 inch","1920 x 1080 pixels","7 ms","None","60 Hz","IPS paneel","HDMI, VGA","49,78 cm x 18,35 cm x 38,45 cm","2,44 kg"
Monitoren,"iiyama ProLite E2282HD-B1","109,-","Iiyama","E2282HD-B1","22 inch","1920 x 1080 pixels","5 ms","None","75 Hz","TN paneel","VGA, DVI","50,5 cm x 19,3 cm x 38,25 cm","None"
Monitoren,"Philips 227E6EDSD","119,-","Philips","227E6EDSD/00","22 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, DVI, Hoofdtelefoon","51,1 cm x 21,2 cm x 40 cm","2,95 kg"
Monitoren,"Samsung LS24D300HS","139,-","Samsung","LS24D300HS/EN","24 inch","1920 x 1080 pixels","2 ms","None","60 Hz","TN paneel","HDMI, VGA","56,9 cm x 41,7 cm x 19,7 cm","2,85 kg"
Monitoren,"Dell Ultrasharp U2415","309,-","Dell","210-AEVE","24 inch","1920 x 1200 pixels","8 ms","None","60 Hz","IPS paneel","HDMI, DisplayPort, Hoofdtelefoon, USB-type A","53,32 cm x 20,5 cm x 51,79 cm","4,25 kg"
Monitoren,"HP EliteDisplay E222","199,-","HP","M1N96AT#ABB","22 inch","1920 x 1080 pixels","7 ms","None","60 Hz","IPS paneel","HDMI, VGA, DisplayPort, USB-type A","51,37 cm x 18,9 cm x 33,35 cm","5,27 kg"
Monitoren,"HP 27es","249,-","HP","T3M86AA#ABB","27 inch","1920 x 1080 pixels","7 ms","None","60 Hz","IPS paneel","HDMI, VGA","62,09 cm x 19,45 cm x 45,56 cm","3,79 kg"
Monitoren,"iiyama ProLite XUB2792QSU-B1","399,-","Iiyama","XUB2792QSU-B1","27 inch","2560 x 1440 pixels","5 ms","None","75 Hz","IPS paneel","HDMI, DVI, DisplayPort, Hoofdtelefoon, USB-type A","61,1 cm x 23 cm x 52,7 cm","6,1 kg"
Monitoren,"LG 34UB88-B","549,-","LG","34UB88-B.AEU","34 inch","3440 x 1440 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, DisplayPort, Thunderbolt, USB-type A, USB-type C","82,99 cm x 17,3 cm x 46,89 cm","7,7 kg"
Monitoren,"AOC I2481FXH","149,-","AOC","I2481FXH","24 inch","1920 x 1080 pixels","4 ms","None","60 Hz","IPS paneel","HDMI, VGA, Hoofdtelefoon","54,1 cm x 15 cm x 40,3 cm","3,1 kg"
Monitoren,"HP 24es","178,99","HP","T3M78AA#ABB","24 inch","1920 x 1080 pixels","7 ms","None","60 Hz","IPS paneel","HDMI, DVI","53,98 cm x 18,35 cm x 40,88 cm","3,04 kg"
Monitoren,"LG 29UM59","229,-","LG","29UM59-P.AEU","29 inch","2560 x 1080 pixels","5 ms","None","75 Hz","IPS paneel","HDMI","70,3 cm x 21,3 cm x 41,4 cm","5,2 kg"
Monitoren,"LG 29UM68","269,-","LG","29UM68-P.AEU","29 inch","2560 x 1080 pixels","5 ms","None","75 Hz","IPS paneel","HDMI, DisplayPort, Hoofdtelefoon","70,3 cm x 20,47 cm x 41,41 cm","5,2 kg"
Monitoren,"iiyama XB2380HS","179,-","Iiyama","XB2380HS-B1","23 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, DVI","54,85 cm x 24,45 cm x 41,55 cm","5,8 kg"
Monitoren,"BenQ Zowie RL2755","249,-","BenQ","9H.LF2LB.QBE","27 inch","1920 x 1080 pixels","1 ms","None","60 Hz","TN paneel","HDMI, VGA, DVI, Hoofdtelefoon","64 cm x 21,4 cm x 47,9 cm","5,5 kg"
Monitoren,"AOC E2475PWJ","149,-","AOC","E2475PWJ","24 inch","1920 x 1080 pixels","2 ms","None","60 Hz","TN paneel","HDMI, VGA, Hoofdtelefoon","55,88 cm x 21,3 cm x 50,5 cm","5,2 kg"
Monitoren,"AOC G2460PF","249,-","AOC","G2460PF","24 inch","1920 x 1080 pixels","1 ms","None","144 Hz","TN paneel","HDMI, VGA, DVI, DisplayPort, Hoofdtelefoon, USB-type A","56,54 cm x 2,45 cm x 39,36 cm","6,54 kg"
Monitoren,"AOC G2260VWQ6","129,-","AOC","G2260VWQ6","22 inch","1920 x 1080 pixels","1 ms","None","75 Hz","TN paneel","HDMI, VGA, DisplayPort","51,18 cm x 1,844 cm x 37,69 cm","3,03 kg"
Monitoren,"iiyama ProLite B2482HD-B1","159,-","Iiyama","B2482HD-B1","24 inch","1920 x 1080 pixels","5 ms","None","60 Hz","TN paneel","VGA, DVI","56,55 cm x 20,3 cm x 41,2 cm","3,3 kg"
Monitoren,"iiyama ProLite XB2788QS-B1","349,-","Iiyama","XB2788QS-B1","27 inch","2560 x 1440 pixels","5 ms","None","75 Hz","IPS paneel","HDMI, DVI, DisplayPort, Hoofdtelefoon","6,435 cm x 2,3 cm x 4,12 cm","6,2 kg"
Monitoren,"iiyama G-Master Black Hawk GE2788HS-B2","199,-","Iiyama","GE2788HS-B2","27 inch","1920 x 1080 pixels","1 ms","None","75 Hz","TN paneel","HDMI, VGA, DVI, Hoofdtelefoon","64,35 cm x 24,2 cm x 46,2 cm","4,6 kg"
Monitoren,"AOC AGON AG241QG","499,-","AOC","AG241QG","24 inch","2560 x 1440 pixels","1 ms","None","165 Hz","TN paneel","HDMI, DisplayPort, USB-type A","55,44 cm x 21,3 cm x 48,9 cm","5,53 kg"
Monitoren,"HP Z23n","233,35","HP","M2J79AT#ABB","23 inch","1920 x 1080 pixels","7 ms","None","60 Hz","IPS paneel","HDMI, VGA, DisplayPort","52,08 cm x 18,9 cm x 48,66 cm","5 kg"
Monitoren,"iiyama G-Master Black Hawk G2730HSU-B1","209,-","Iiyama","G2730HSU-B1","27 inch","1920 x 1080 pixels","1 ms","None","75 Hz","TN paneel","HDMI, VGA, DisplayPort, USB","61,3 cm x 19,7 cm x 44,1 cm","5,3 kg"
Monitoren,"iiyama ProLite XU2492HSU-B1","169,-","Iiyama","XU2492HSU-B1","24 inch","1920 x 1080 pixels","5 ms","None","75 Hz","IPS paneel","HDMI, VGA, DisplayPort","53,95 cm x 18,45 cm x 40,75 cm","3,6 kg"
Monitoren,"Dell P2317H","209,-","Dell","210-AJEG","23 inch","1920 x 1080 pixels","6 ms","None","60 Hz","IPS paneel","HDMI, VGA, DVI, DisplayPort, USB-type A","53,18 cm x 18 cm x 48,69 cm","5,58 kg"
Monitoren,"Asus VG248QE","289,-","Asus","90LMGG001Q022B1C-","24 inch","1920 x 1080 pixels","1 ms","None","144 Hz","TN paneel","HDMI, DVI, DisplayPort, Hoofdtelefoon","56,94 cm x 23,1 cm x 49,99 cm","5,5 kg"
Monitoren,"iiyama ProLite X2783HSU-B3","199,-","Iiyama","X2783HSU-B3","27 inch","1920 x 1080 pixels","4 ms","None","75 Hz","None","HDMI, VGA, DisplayPort, USB-type A","622,5 cm x 218 cm x 446 cm","4,4 kg"
Monitoren,"LG 27MP68HM-P","209,-","LG","27MP68HM-P.AEU","27 inch","1920 x 1080 pixels","5 ms","None","75 Hz","IPS paneel","HDMI, VGA, Hoofdtelefoon","61,38 cm x 20,46 cm x 45,74 cm","4,9 kg"
Monitoren,"LG 24MB56HQ","150,-","LG","24MB56HQ-B.AEU","24 inch","1920 x 1080 pixels","5 ms","None","75 Hz","IPS paneel","HDMI, VGA","55,4 cm x 23,9 cm x None","3,9 kg"
Monitoren,"Samsung S27F350FHU","229,-","Samsung","LS27F350FHUXEN","27 inch","1920 x 1080 pixels","4 ms","None","60 Hz","PLS paneel","HDMI, VGA, Hoofdtelefoon","62,69 cm x 24,77 cm x 46,25 cm","4,8 kg"
Monitoren,"LG 24MP58VQ","139,-","LG","24MP58VQ-W.AEU","24 inch","1920 x 1080 pixels","5 ms","None","75 Hz","IPS paneel","HDMI, VGA, DVI, Hoofdtelefoon","55,05 cm x 18,68 cm x 41,9 cm","3,2 kg"
Monitoren,"BenQ Zowie XL2430","358,16","BenQ","9H.LF1LB.QBE","24 inch","1920 x 1080 pixels","1 ms","None","144 Hz","TN paneel","HDMI, VGA, DVI, DisplayPort, Hoofdtelefoon, USB-type A","56,8 cm x 19,9 cm x None","7 kg"
Monitoren,"HP EliteDisplay E242","279,-","HP","M1P02AT","24 inch","1920 x 1200 pixels","7 ms","None","60 Hz","IPS paneel","HDMI, VGA, DisplayPort, USB-type A","56,2 cm x 5 cm x 37,7 cm","6,2 kg"
Monitoren,"AOC AGON AG271QX","499,-","AOC","AG271QX","27 inch","2560 x 1440 pixels","1 ms","None","144 Hz","TN paneel","HDMI, VGA, DVI, DisplayPort, Hoofdtelefoon, USB-type A","62,3 cm x 21,8 cm x 43,3 cm","6,8 kg"
Monitoren,"LG 24MP58VQ-P","139,-","LG","24MP58VQ-P.AEU","24 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, DVI, Hoofdtelefoon","55,05 cm x 18,68 cm x 41,9 cm","3,2 kg"
Monitoren,"Philips 246E7QDSW","149,-","Philips","246E7QDSW/00","24 inch","1920 x 1080 pixels","5 ms","None","60 Hz","PLS paneel","HDMI, VGA, DVI","53,9 cm x 4,5 cm x None","3,18 kg"
Monitoren,"Samsung LC24FG73FQUXEN","359,-","Samsung","LC24FG73FQUXEN","24 inch","1920 x 1080 pixels","1 ms","None","144 Hz","VA paneel","HDMI, DisplayPort, Hoofdtelefoon","54,4 cm x 28,1 cm x 51,9 cm","4,4 kg"
Monitoren,"AOC U2879VF","329,-","AOC","U2879VF","28 inch","3840 x 2160 pixels","1 ms","None","60 Hz","TN paneel","HDMI, VGA, DVI, DisplayPort, Hoofdtelefoon","68,93 cm x 16,9 cm x 39,48 cm","7,94 kg"
Monitoren,"Philips Brilliance BDM4350UC","599,-","Philips","BDM4350UC/00","43 inch","3840 x 2160 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, DisplayPort, Hoofdtelefoon, USB-type A","96,8 cm x 25,9 cm x 63 cm","9,72 kg"
Monitoren,"LG 24MP59G","179,-","LG","24MP59G-P.AEU","23,8 inch","1920 x 1080 pixels","1 ms","None","75 Hz","IPS paneel","HDMI, VGA, DisplayPort, Hoofdtelefoon","55,05 cm x 20,41 cm x 41,99 cm","3,2 kg"
Monitoren,"iiyama XU2390HS-B1","149,-","Iiyama","XU2390HS-B1","23 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, DVI, Hoofdtelefoon","53,25 cm x 18 cm x 38,75 cm","4 kg"
Monitoren,"Asus Zenscreen MB16AC","289,-","Asus","90LM0381-B01170","15,6 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","USB-type A, USB-type C","37 cm x 23 cm x 0,8 cm","0,78 kg"
Monitoren,"iiyama G-Master Red Eagle GB2760QSU-B1","459,-","Iiyama","GB2760QSU-B1","27 inch","2560 x 1440 pixels","1 ms","None","144 Hz","TN paneel","HDMI, DVI, DisplayPort, USB-type A","61,3 cm x 23 cm x 39,75 cm","6,4 kg"
Monitoren,"LG 27MP59G","219,-","LG","27MP59G-P.AEU","27 inch","1920 x 1080 pixels","1 ms","None","75 Hz","IPS paneel","HDMI, VGA, DisplayPort, Hoofdtelefoon","63,5 cm x 20,32 cm x 46,99 cm","4,3 kg"
Monitoren,"AOC i2381FH","139,-","AOC","i2381FH","23 inch","1920 x 1080 pixels","4 ms","None","60 Hz","IPS paneel","HDMI, VGA, Hoofdtelefoon","53,3 cm x 15 cm x 40 cm","3 kg"
Monitoren,"LG 22MB37PU","129,-","LG","22MB37PU","22 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","VGA, DVI, USB-type A","50,9 cm x 23,9 cm x 34,9 cm","3,6 kg"
Monitoren,"LG 27UD58","389,-","LG","27UD58","27 inch","3840 x 2160 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, DisplayPort, Hoofdtelefoon","61,5 cm x 49,3 cm x 36,51 cm","5,6 kg"
Monitoren,"iiyama ProLite T2252MTS-B5","259,-","Iiyama","T2252MTS-B5","22 inch","1920 x 1080 pixels","2 ms","None","75 Hz","TN paneel","HDMI, VGA, DVI, Hoofdtelefoon, USB-type A","5,165 cm x 2,205 cm x 3,715 cm","5,7 kg"
Monitoren,"AOC U3277FWQ","399,-","AOC","U3277FWQ","32 inch","3840 x 2160 pixels","4 ms","None","60 Hz","MVA paneel","HDMI, DVI, DisplayPort","74,2 cm x 17,8 cm x 51,7 cm","8 kg"
Monitoren,"LG 32MP58HQ-P","249,-","LG","32MP58HQ-P.AEU","32 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, Hoofdtelefoon","72,66 cm x 62,05 cm x 49,2 cm","6,5 kg"
Monitoren,"iiyama G-MASTER Silver Crow GB2783QSU-B1","339,-","Iiyama","GB2783QSU-B1","27 inch","2560 x 1440 pixels","1 ms","None","75 Hz","TN paneel","HDMI, DisplayPort","62,25 cm x 23 cm x 40,05 cm","6,1 kg"
Monitoren,"Samsung LC27F396FHUXEN","249,-","Samsung","LC27F396FHUXEN","27 inch","1920 x 1080 pixels","4 ms","None","60 Hz","VA paneel","HDMI, VGA, Hoofdtelefoon","62,3 cm x 24,3 cm x 46,6 cm","4,1 kg"
Monitoren,"Philips 328E8QJAB5","299,-","Philips","328E8QJAB5/00","32 inch","1920 x 1080 pixels","5 ms","None","60 Hz","VA paneel","HDMI, VGA, DisplayPort, Hoofdtelefoon","72,1 cm x 22,3 cm x 52,5 cm","7,2 kg"
