product_type,product_name,product_price,product_brand,product_model,product_printertype,product_tech,product_maxsize,product_maxres,product_bwspeed,product_cspeed,product_memory,product_dimensions,product_weight
Inkjetprinters,"Epson WorkForce Pro WF-4725DWF","219,-","Epson","C11CF74404","All-in-one","Inkjet","A4","4800 x 1200","20 ppm","20 ppm","None","42,5 cm x 37,8 cm x 24,9 cm","9,1 kg"
Laserprinters,"Brother MFC-L8900CDW","1.059,-","Brother","MFC-L8900CDW","All-in-one","Laser","A4","2400 x 600","31 ppm","31 ppm","0,512 GB","49,5 cm x 52,6 cm x 54,9 cm","28,7 kg"
Laserprinters,"Lexmark CX317DN","229,-","Lexmark","28CC561","All-in-one","Laser","A4","2400 x 600","25 ppm","23 ppm","None","44,4 cm x 55,8 cm x 47 cm","27,4 kg"
Laserprinters,"Lexmark MS317DN","84,99","Lexmark","35SC080","Alléén printen","Laser","A4","1200 x 1200","33 ppm","None","None","39,9 cm x 38,2 cm x 26,3 cm","14 kg"
Inkjetprinters,"Ricoh SG 3110DNw","229,-","Ricoh Nederland B.V.","906306","Alléén printen","Inkjet","A4","3600 x 1200","12 ppm","12 ppm","0,128 GB","39,9 cm x 43,7 cm x 21,3 cm","10,5 kg"
Laserprinters,"Lexmark MX317DN","156,99","Lexmark","35SC745","All-in-one","Laser","A4","1200 x 1200","33 ppm","None","None","39,9 cm x 47,2 cm x 46,8 cm","20 kg"
Laserprinters,"Samsung Xpress M2875FD","219,-","Samsung","SL-M2875FD/SEE","All-in-one","Laser","A4","4800 x 600","28 ppm","None","0,128 GB","40,1 cm x 36,7 cm x 36,2 cm","11,3 kg"
Laserprinters,"Samsung Xpress C1810W","219,-","Samsung","SL-C1810W/SEE","Alléén printen","Laser","A4","9600 x 600","16 ppm","16 ppm","None","42 cm x 42,6 cm x 26,4 cm","16,62 kg"
Laserprinters,"Canon i-SENSYS LBP6030B","105,99","Canon","8468B006","Alléén printen","Laser","A4","600 x 600","18 ppm","None","None","36,4 cm x 24,9 cm x 19,9 cm","5 kg"
Inkjetprinters,"Canon PIXMA MG6851","113,-","Canon","0519C026","All-in-one","Inkjet","A4","4800 x 1200","15 ppm","9,7 ppm","None","45,5 cm x 36,9 cm x 14,8 cm","6,4 kg"
Inkjetprinters,"Epson WorkForce Pro WF-6590DWF","669,-","Epson","C11CD49301","All-in-one","Inkjet","A4","4800 x 1200","24 ppm","24 ppm","None","51,6 cm x 52 cm x 51,4 cm","31 kg"
3D-printers,"Ultimaker 2+","2.299,-","Ultimaker","9620","None","None","None","None","None","None","None","49,3 cm x 34,2 cm x 58,8 cm","11,3 kg"
Inkjetprinters,"Epson Stylus Photo 1500W","379,-","Epson","C11CB53302","Alléén printen","Inkjet","A3+","5760 x 1440","16 ppm","16 ppm","None","61,6 cm x 32,2 cm x 21,5 cm","11,8 kg"
Inkjetprinters,"HP ENVY Photo 6234 All-in-One","99,99","HP","K7S21B","All-in-one","Inkjet","A4","4800 x 1200","12 ppm","8 ppm","0,256 GB","45,35 cm x 41 cm x 15,56 cm","6,7 kg"
Labelprinters,"DYMO LabelWriter 450 Twin Turbo","174,-","Dymo","S0838870","None","None","None","600 x 300","None","None","None","21,7 cm x 18,7 cm x 13,4 cm","1,12 kg"
Inkjetprinters,"HP ENVY 5030 All-in-one","79,99","HP","M2U92B","All-in-one","Inkjet","A4","4800 x 1200","10 ppm","7 ppm","0,256 GB","56,4 cm x 44,5 cm x 12,8 cm","5,41 kg"
Laserprinters,"Lexmark MS818DN","389,-","Lexmark","40GC230","Alléén printen","Laser","A4","1200 x 1200","60 ppm","None","0,512 GB","42,5 cm x 51 cm x 41,9 cm","23,6 kg"
Inkjetprinters,"HP ENVY Photo 7130 All-in-One","129,99","HP","Z3M47B","All-in-one","Inkjet","A4","4800 x 1200","14 ppm","9 ppm","0,256 GB","45,35 cm x 41 cm x 15,92 cm","6,7 kg"
Labelprinters,"DYMO LetraTag LT-100T (AZERTY)","33,99","Dymo","S0758360","None","None","None","160","None","None","None","22 cm x 8,3 cm x 4,8 cm","0,229 kg"
Inkjetprinters,"HP Deskjet 3637 All-in-One","43,-","HP","K4U01B","All-in-one","Inkjet","A4","4800 x 1200","8,5 ppm","6 ppm","None","43,8 cm x 31 cm x 15,8 cm","4,17 kg"
Inkjetprinters,"HP OfficeJet 3830 e-All-in-One","59,99","HP","F5R95B","All-in-one","Inkjet","A4","1200 x 1200","8,5 ppm","6 ppm","None","45 cm x 36,4 cm x 22,44 cm","5,61 kg"
Laserprinters,"Brother DCP-1612W","115,-","Brother","DCP-1612W","All-in-one","Laser","A4","2400 x 600","20 ppm","None","0,032 GB","34 cm x 38,5 cm x 25,5 cm","7,2 kg"
Laserprinters,"Xerox WorkCentre 6515DNI","349,-","Xerox","6515V_DNI","All-in-one","LED-technologie","A4","2400 x 1200","28 ppm","28 ppm","2 GB","50,6 cm x 42 cm x 50 cm","36,2 kg"
Laserprinters,"Lexmark CX417DE","299,-","Lexmark","28DC561","All-in-one","Laser","A4","2400 x 600","30 ppm","30 ppm","None","44,4 cm x 55,8 cm x 47 cm","27,4 kg"
Inkjetprinters,"HP DeskJet 2630 All-in-One","49,99","HP","V1N03B","All-in-one","Inkjet","A4","4800 x 1200","7,5 ppm","5,5 ppm","None","42,5 cm x 30,4 cm x 14,9 cm","3,42 kg"
Laserprinters,"Xerox Phaser 6510DN","199,-","Xerox","6510V_DN","Alléén printen","LED-technologie","A4","2400 x 1200","28 ppm","28 ppm","None","48,3 cm x 47 cm x 34,7 cm","23,8 kg"
Inkjetprinters,"Canon PIXMA MG6850","87,99","Canon","0519C006AA","All-in-one","Inkjet","A4","4800 x 1200","15 ppm","9,7 ppm","None","45,5 cm x 36,9 cm x 14,8 cm","6,4 kg"
Inkjetprinters,"HP DeskJet 3720 Wit/Blauw","69,-","HP","J9V93B","All-in-one","Inkjet","A4","None","8 ppm","5,5 ppm","None","40,3 cm x 17,7 cm x 14,1 cm","2,33 kg"
Laserprinters,"Xerox WorkCentre 6515DN","329,-","Xerox","6515V_DN","All-in-one","LED-technologie","A4","2400 x 1200","28 ppm","28 ppm","None","50,6 cm x 42 cm x 50 cm","36,2 kg"
Inkjetprinters,"HP ENVY 4520 All-in-One","69,99","HP","F0V63B","All-in-one","Inkjet","A4","4800 x 1200","9,5 ppm","6,8 ppm","0,064 GB","36,7 cm x 44,5 cm x 12,8 cm","5,41 kg"
Laserprinters,"Brother MFC-L2700DW","179,-","Brother","MFC-L2700DWH1","All-in-one","Laser","A4","2400 x 600","26 ppm","None","None","40,9 cm x 39,9 cm x 31,6 cm","11,4 kg"
Inkjetprinters,"Canon PIXMA MG2950S","54,99","Canon","9500B024AA","All-in-one","Inkjet","A4","None","8 ppm","4 ppm","None","42,6 cm x 30,6 cm x 14,5 cm","3,5 kg"
Laserprinters,"Canon i-SENSYS LBP7210CDN","299,-","Canon","6373B001","Alléén printen","Laser","A4","9600 x 600","20 ppm","20 ppm","None","41,4 cm x 49,9 cm x 32,8 cm","22,3 kg"
Inkjetprinters,"Epson SureColor SC-P600","589,-","Epson","C11CE21301","Alléén printen","Inkjet","A3+","5760 x 1440","6 ppm","6 ppm","None","61,6 cm x 36,9 cm x 22,8 cm","15 kg"
Laserprinters,"Xerox WorkCentre 6605DN","769,-","Xerox","6605V_DN","All-in-one","Laser","A4","600 dpi x 600 dpi","35 ppm","35 ppm","None","43 cm x 52,8 cm x 56 cm","32,5 kg"
Inkjetprinters,"Epson Expression Photo XP-960","219,-","Epson","C11CE82402","All-in-one","Inkjet","A3","5760 x 1440","8,5 ppm","8 ppm","None","47,9 cm x 35,6 cm x 14,8 cm","8,7 kg"
Laserprinters,"Brother HL-L5100DN","219,-","Brother","HL-L5100DN","Alléén printen","Laser","A4","1200 x 1200","40 ppm","None","None","38,8 cm x 37,3 cm x 25,5 cm","10,7 kg"
Laserprinters,"Samsung Xpress SL-C480FW","289,-","Samsung","SL-C480FW/SEE","All-in-one","Laser","A4","None","18 ppm","4 ppm","None","40,6 cm x 36,2 cm x 28,9 cm","12,9 kg"
Inkjetprinters,"Epson Expression Premium XP-540","75,99","Epson","C11CF51402","All-in-one","Inkjet","A4","5760 x 1440","9,5 ppm","9 ppm","None","39 cm x 34,1 cm x 13,8 cm","6,2 kg"
Inkjetprinters,"Epson Expression Photo XP-960","219,-","Epson","C11CE82402","All-in-one","Inkjet","A3","5760 x 1440","8,5 ppm","8 ppm","None","47,9 cm x 35,6 cm x 14,8 cm","8,7 kg"
Laserprinters,"Samsung Xpress SL-C480FW","289,-","Samsung","SL-C480FW/SEE","All-in-one","Laser","A4","None","18 ppm","4 ppm","None","40,6 cm x 36,2 cm x 28,9 cm","12,9 kg"
Laserprinters,"Brother DCP-L2560DW","179,-","Brother","DCP-L2560DW","All-in-one","Laser","A4","2400 x 600","30 ppm","None","None","40,9 cm x 39,9 cm x 26,8 cm","9,9 kg"
Inkjetprinters,"HP PageWide Pro 477dwt MFP (W2Z53B)","689,-","HP","W2Z53B","All-in-one","Inkjet","A4","1200 x 1200","40 ppm","40 ppm","0,768 GB","53 cm x 40,7 cm x 62,7 cm","27,25 kg"
