product_type,product_name,product_price,product_brand,product_model,product_printertype,product_tech,product_maxsize,product_maxres,product_bwspeed,product_cspeed,product_memory,product_dimensions,product_weight
Laserprinters,"HP LaserJet Enterprise M608DN","939,-","HP","K0Q18A","Alléén printen","Laser","A4","1200 x 1200","61 ppm","None","512 GB","43,1 cm x 46,6 cm x 38 cm","21,6 kg"
Inkjetprinters,"Epson WorkForce Pro WF-8590 DWF","1.399,-","Epson","C11CD45301","All-in-one","Inkjet","A3+","None","24 ppm","24 ppm","None","59 cm x 57 cm x 46,4 cm","34,3 kg"
Laserprinters,"HP LaserJet Enterprise M608N","779,-","HP","K0Q17A","Alléén printen","Laser","A4","1200 x 1200","61 ppm","None","512 GB","43,1 cm x 46,6 cm x 38 cm","21,6 kg"
3D-printers,"Zortrax M200","2.099,-","Zortrax","M200","None","None","None","None","None","None","None","34,5 cm x 36 cm x 43 cm","16 kg"
Laserprinters,"HP LaserJet Pro MFP M130fn","173,99","HP","G3Q59A","All-in-one","Laser","A4","600 x 600","22 ppm","None","0,256 GB","41,51 cm x 28,8 cm x 28 cm","7,6 kg"
Laserprinters,"Brother HL-L6300DW","449,-","Brother","HL-L6300DW","Alléén printen","Laser","A4","1200 x 1200","46 ppm","None","None","39,6 cm x 40 cm x 28,8 cm","13,2 kg"
3D-printers,"BCN3D Sigma R17","2.659,-","BCN3D","10999","None","None","None","None","None","None","None","4,65 cm x 4,4 cm x 6,8 cm","13,6 kg"
Laserprinters,"Xerox Versalink C400V_DN","449,-","Xerox","C400V_DN","Alléén printen","Laser","A4","600 x 600","35 ppm","35 ppm","2 GB","49,1 cm x 48,8 cm x 39,9 cm","26 kg"
Laserprinters,"Ricoh SP 3610SF","489,-","Ricoh Nederland B.V.","906521","All-in-one","LED-technologie","A4","1200 x 1200","30 ppm","None","None","40 cm x 39,2 cm x 40,6 cm","19 kg"
Laserprinters,"Xerox Versalink C400V_N","359,-","Xerox","C400V_N","Alléén printen","Laser","A4","600 x 600","35 ppm","35 ppm","2 GB","4,91 cm x 4,88 cm x 3,99 cm","26 kg"
Inkjetprinters,"Epson SureColor SC-P400","549,-","Epson","C11CE85301","Alléén printen","Inkjet","A3+","5760 x 1440","9 ppm","5 ppm","None","62,2 cm x 32,4 cm x 21,9 cm","12,3 kg"
Laserprinters,"Ricoh SP C240DN","131,-","Ricoh Nederland B.V.","973797","Alléén printen","Laser","A4","600 x 600","16 ppm","16 ppm","None","40 cm x 45 cm x 32 cm","23,8 kg"
Laserprinters,"Samsung Pro Xpress M3875FD","369,-","Samsung","SL-M3875FD/SEE","All-in-one","Laser","A4","1200 x 1200","38 ppm","None","0,256 GB","41,4 cm x 44,2 cm x 42 cm","15,15 kg"
Laserprinters,"Brother HL-L6300DWT","599,-","Brother","HL-L6300DWT","Alléén printen","Laser","A4","1200 x 1200","46 ppm","None","None","39,6 cm x 40 cm x 28,8 cm","17,1 kg"
Inkjetprinters,"HP PageWide 352dw (J6U57B)","279,-","HP","J6U57B","Alléén printen","Inkjet","A4","1200 x 1200","30 ppm","30 ppm","0,512 GB","53 cm x 40,7 cm x 37,9 cm","16,38 kg"
Laserprinters,"Samsung Pro Xpress SL-M3825DW","259,-","Samsung","SL-M3825DW/SEE","Alléén printen","Laser","A4","None","38 ppm","None","None","36,6 cm x 36,56 cm x 26,25 cm","10,18 kg"
Laserprinters,"HP LaserJet Enterprise M604dn","549,-","HP","E6B68A","Alléén printen","Laser","A4","1200 x 1200","50 ppm","None","None","42,5 cm x 53,7 cm x 39,9 cm","25,9 kg"
Laserprinters,"Lexmark CS317DN","119,99","Lexmark","28CC070","Alléén printen","Laser","A4","1200 x 1200","23 ppm","23 ppm","None","44,2 cm x 40,7 cm x 29,1 cm","20,3 kg"
Labelprinters,"Brother PT-P700","62,48","Brother","BRO-PT-P700","None","None","None","180 dpi","None","None","None","7,8 cm x 15,2 cm x 14,3 cm","0,71 kg"
Laserprinters,"Samsung ProXpress M3325ND","249,-","Samsung","SL-M3325ND/SEE","Alléén printen","Laser","A4","1200 dpi x 1200 dpi","33 ppm","None","None","36,6 cm x 36,6 cm x 26,3 cm","9,86 kg"
Laserprinters,"Epson WorkForce AL-M300DN","109,-","Epson","C11CC64011","Alléén printen","Laser","A4","1200 x 1200","35 ppm","None","0,128 GB","39,3 cm x 42,6 cm x 27,7 cm","12 kg"
Laserprinters,"Lexmark CS417DN","163,99","Lexmark","28DC070","Alléén printen","Laser","A4","2400 x 600","30 ppm","30 ppm","256 GB","44,2 cm x 40,7 cm x 29,1 cm","20,5 kg"
Inkjetprinters,"HP OfficeJet 4658 All-in-One","109,-","HP","V6D30B","All-in-one","Inkjet","A4","600 x 300","9,5 ppm","6,8 ppm","0,064 GB","56,4 cm x 44,5 cm x 19,8 cm","6,55 kg"
Laserprinters,"HP LaserJet Enterprise M604dn","549,-","HP","E6B68A","Alléén printen","Laser","A4","1200 x 1200","50 ppm","None","None","42,5 cm x 53,7 cm x 39,9 cm","25,9 kg"
Laserprinters,"Lexmark CS827DE","569,-","Lexmark","21KC230","Alléén printen","Laser","A4","2400 x 600","57 ppm","57 ppm","1024 GB","55,9 cm x 52,2 cm x 53,6 cm","62,3 kg"
Laserprinters,"Lexmark CS727DE","279,-","Lexmark","40CC136","Alléén printen","Laser","A4","2400 x 600","38 ppm","38 ppm","None","44,2 cm x 40,7 cm x 29,1 cm","20,3 kg"
Laserprinters,"Lexmark CS517DE","249,-","Lexmark","28EC070","Alléén printen","Laser","A4","2400 x 600","30 ppm","30 ppm","0,512 GB","44,2 cm x 40,7 cm x 30,6 cm","20,9 kg"
Laserprinters,"Lexmark CX727DE","939,-","Lexmark","40CC554","All-in-one","Laser","A4","2400 x 600","47 ppm","47 ppm","None","50,5 cm x 53,3 cm x 64,8 cm","44,9 kg"
Laserprinters,"Samsung ProXpress M3325ND","249,-","Samsung","SL-M3325ND/SEE","Alléén printen","Laser","A4","1200 dpi x 1200 dpi","33 ppm","None","None","36,6 cm x 36,6 cm x 26,3 cm","9,86 kg"
Laserprinters,"Lexmark CS728DE","429,-","Lexmark","40CC036","Alléén printen","Laser","A4","2400 x 600","47 ppm","47 ppm","1024 GB","47,5 cm x 49,9 cm x 41,7 cm","36,3 kg"
Laserprinters,"Lexmark CS317DN","119,99","Lexmark","28CC070","Alléén printen","Laser","A4","1200 x 1200","23 ppm","23 ppm","None","44,2 cm x 40,7 cm x 29,1 cm","20,3 kg"
Laserprinters,"Epson WorkForce AL-M300DN","109,-","Epson","C11CC64011","Alléén printen","Laser","A4","1200 x 1200","35 ppm","None","0,128 GB","39,3 cm x 42,6 cm x 27,7 cm","12 kg"
Laserprinters,"Lexmark MS517DN","219,-","Lexmark","35SC380","Alléén printen","Laser","A4","1200 x 1200","42 ppm","None","0,256 GB","39,9 cm x 38,2 cm x 26,3 cm","15 kg"
Laserprinters,"Lexmark MS617DN","269,-","Lexmark","35SC480","Alléén printen","Laser","A4","1200 x 1200","47 ppm","None","0,256 GB","3,99 cm x 3,82 cm x 30,6 cm","15,7 kg"
Laserprinters,"Lexmark MX517DE","389,-","Lexmark","35SC748","All-in-one","Laser","A4","1200 x 1200","42 ppm","None","512 GB","48,9 cm x 45,2 cm x 50,2 cm","21,8 kg"
Laserprinters,"Lexmark MX617DE","519,-","Lexmark","35SC750","All-in-one","Laser","A4","1200 x 1200","47 ppm","None","1024 GB","48,9 cm x 47,9 cm x 56,1 cm","23,6 kg"
Labelprinters,"DYMO LabelManager 360D (QWERTY)","88,99","Dymo","S0879470","None","None","None","None","None","None","None","19,7 cm x 15 cm x 7,1 cm","0,621 kg"
Labelprinters,"Brother PT-P700","62,48","Brother","BRO-PT-P700","None","None","None","180 dpi","None","None","None","7,8 cm x 15,2 cm x 14,3 cm","0,71 kg"
Inkjetprinters,"HP PageWide Enterprise Color MFP 586dn","1.629,-","HP","G1W39A","All-in-one","Inkjet","A4","1200 x 1200","50 ppm","50 ppm","2,048 GB","53 cm x 56,4 cm x 52,9 cm","32,3 kg"
Laserprinters,"HP LaserJet Enterprise M605dn","659,-","HP","E6B70A","Alléén printen","Laser","A4","1200 x 1200","55 ppm","None","None","42,5 cm x 53,7 cm x 39,9 cm","25,9 kg"
Laserprinters,"HP LaserJet Enterprise M605x","1.029,-","HP","E6B71A","Alléén printen","Laser","A4","1200 x 1200","55 ppm","None","None","42,5 cm x 53,7 cm x 52,1 cm","None"
Inkjetprinters,"HP PageWide Enterprise Color MFP 586z","1.999,-","HP","G1W41A","All-in-one","Inkjet","A4","1200 x 1200","50 ppm","50 ppm","2,048 GB","53 cm x 56,4 cm x 52,9 cm","32,3 kg"
Inkjetprinters,"Epson WorkForce Pro WF-8590 DTWF","1.689,-","Epson","C11CD45301BT","All-in-one","Inkjet","A3+","4800 x 1200","24 ppm","24 ppm","None","59 cm x 57 cm x 58,9 cm","46,4 kg"
Inkjetprinters,"HP Designjet T520 24 inch","1.529,-","HP","CQ890A","Alléén printen","Inkjet","A1","2400 x 1200","1 ppm","1 ppm","1,024 GB","98,7 cm x 53 cm x 93,2 cm","34 kg"
Inkjetprinters,"HP Designjet T730 36 inch","2.839,-","HP","F9A29A","Alléén printen","Inkjet","A0","2400 x 1200","2,4 ppm","2,4 ppm","1 GB","140,3 cm x 58,3 cm x 115,5 cm","48 kg"
Labelprinters,"Brother PT-P750W","119,99","Brother","PTP750WUA1","None","None","None","180","None","None","None","7,8 cm x 15,2 cm x 14,3 cm","0,8 kg"
Laserprinters,"Lexmark CX517DE","489,-","Lexmark","28EC511","All-in-one","Laser","A4","2400 x 600","30 ppm","30 ppm","1024 GB","44,4 cm x 58,9 cm x 47 cm","28,2 kg"
Laserprinters,"Brother MFC-L8690CDW","559,-","Brother","MFC-L8690CDW","All-in-one","Laser","A4","2400 x 600","31 ppm","31 ppm","0,512 GB","43,5 cm x 52,6 cm x 53,9 cm","27,9 kg"
Laserprinters,"HP LaserJet Pro MFP M130a","129,-","HP","G3Q57A","All-in-one","Laser","A4","600 x 600","22 ppm","None","0,128 GB","39,8 cm x 28,8 cm x 23,11 cm","6,8 kg"
Laserprinters,"Canon i-SENSYS LBP151dw","171,99","Canon","0568C001","Alléén printen","Laser","A4","600 x 600","27 ppm","None","None","36,5 cm x 39 cm x 24,5 cm","8,6 kg"
Laserprinters,"Xerox WorkCentre 6515N","359,-","Xerox","6515V_N","All-in-one","LED-technologie","A4","2400 x 1200","28 ppm","28 ppm","None","50,6 cm x 42 cm x 50 cm","36,2 kg"
Inkjetprinters,"HP PageWide Pro 452dwt (W2Z52B)","459,-","HP","W2Z52B","Alléén printen","Inkjet","A4","1200 x 1200","40 ppm","40 ppm","0,512 GB","53 cm x 40,7 cm x 53,9 cm","21,48 kg"
Laserprinters,"Canon i-SENSYS LBP7100CN","175,99","Canon","6293B004","Alléén printen","Laser","A4","1200 x 1200","14 ppm","14 ppm","None","40,6 cm x 25,5 cm x 45,4 cm","16,6 kg"
Laserprinters,"Brother HL-L5100DNT","299,-","Brother","HL-L5100DNT","Alléén printen","Laser","A4","1200 x 1200","40 ppm","None","None","37,3 cm x 38,8 cm x 38,7 cm","14,6 kg"
