product_type,product_name,product_price,product_brand,product_model,product_screen,product_screenres,product_cpu,product_graphicscard,product_graphicsmemory,product_memory,product_storage,product_dimensions,product_weight
Laptops QWERTY,"Asus Strix FX502VM-FY361T","1.399,-","Asus","90NB0DR5-M06230","15,6 inch","1920 x 1080 pixels","Intel Core i5 7300HQ","NVIDIA GeForce GTX 1060","3000 MB","16 GB","128 GB SSD + 1 TB HDD","39 cm x 26,6 cm x 2,35 cm","2,24 kg"
Laptops QWERTY,"Asus Zenbook Flip S UX370UA-C4143R","1.399,-","Asus","90NB0EN2-M02430","13,3 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","31,1 cm x 21,1 cm x 1,12 cm","1,1 kg"
Laptops QWERTY,"Lenovo ThinkPad X1 Carbon 20HR002MMH","2.199,-","Lenovo","20HR002MMH","14 inch","1920 x 1080 pixels","Intel Core i7 7500U","Intel HD Graphics 620","None","16 GB","512 GB SSD","32,35 cm x 21,71 cm x 1,595 cm","1,13 kg"
Laptops QWERTY,"Asus EeeBook R209HA-FD0073T","249,-","Asus","90NL0073-M04030","11,6 inch","1366 x 768 pixels","Intel Atom Z8350","Intel HD Graphics 400","None","2 GB","32 GB Flash + 32 GB SD kaart","28,6 cm x 19,3 cm x 1,75 cm","0,98 kg"
Laptops QWERTY,"MSI GT73VR 7RE-400NL Titan SLI 4K","4.099,-","MSI","GT73VR 7RE-400NL","17,3 inch","3840 x 2160 pixels","Intel Core i7 7820HK","NVIDIA GeForce GTX 1070 SLI","8000 MB","32 GB","2x 256 GB SSD + 1 TB HDD","42,8 cm x 31,4 cm x 4,46 cm","3,9 kg"
Laptops QWERTY,"MSI GE62MVR 7RG-036NL Apache Pro","1.899,-","MSI","GE62MVR 7RG-036NL","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1070","8000 MB","16 GB","256GB SSD + 1 TB HDD","38,3 cm x 26 cm x 2,8 cm","2,4 kg"
Laptops QWERTY,"HP Pavilion 17-ab200nd","1.199,-","HP","Z5E78EA","17,3 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","8 GB","128 GB SSD + 1 TB HDD","41,6 cm x 27,9 cm x 2,99 cm","2,85 kg"
Laptops QWERTY,"Asus Eeebook R209HA-FD0070T","249,-","Asus","90NL0071-M03720","11,6 inch","1366 x 768 pixels","Intel Atom Z8300","Intel HD Graphics","None","2 GB","32 GB Flash + 32 GB SD kaart","28,6 cm x 19,3 cm x 1,75 cm","0,98 kg"
Laptops QWERTY,"HP Pavilion 17-g126nd","549,-","HP","N9S44EA#ABH","17,3 inch","1600 x 900 pixels","AMD A8 7410","AMD Radeon R5","None","8 GB","1 TB harde schijf","41,88 cm x 28,68 cm x 2,71 cm","2,79 kg"
Laptops QWERTY,"Acer Swift 3 SF314-51-53MQ","899,-","Acer","NX.GKKEH.021","14 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","34,1 cm x 23,66 cm x 1,8 cm","1,5 kg"
