product_type,product_name,product_price,product_brand,product_model,product_screen,product_screenres,product_cpu,product_graphicscard,product_graphicsmemory,product_memory,product_storage,product_dimensions,product_weight
Laptops QWERTY,"Lenovo Ideapad 320-15ABR 80XS005LMH","699,-","Lenovo","80XS005LMH","15,6 inch","1920 x 1080 pixels","AMD A12 9720P","AMD Radeon R7","2000 MB","16 GB","128 GB SSD + 1 TB HDD","37,8 cm x 26 cm x 2,29 cm","2,2 kg"
Laptops QWERTY,"Acer Spin 1 SP111-31-C34F","349,-","Acer","NX.GL2EH.003","11,6 inch","1920 x 1080 pixels","Intel Celeron N3350","Intel HD Graphics 500","None","4 GB","32 GB Flash","29,8 cm x 21 cm x 2,03 cm","1,5 kg"
Laptops QWERTY,"Acer Chromebook 15 CB3-532-C8E0","245,94","Acer","NX.GHJEH.003","15,6 inch","1920 x 1080 pixels","Intel Celeron N3160","Intel HD Graphics 400","None","4 GB","32 GB Flash","38,3 cm x 25,6 cm x 2,42 cm","1,95 kg"
Laptops QWERTY,"Apple MacBook Pro 13'' (2017) MPXT2N/A Space Gray","1.695,-","Apple","MPXT2N/A","13,3 inch","2560 x 1600 pixels","Intel Core i5 None","Intel Iris Plus Graphics 640","None","8 GB","256 GB SSD","30,41 cm x 21,24 cm x 1,49 cm","1,37 kg"
Laptops QWERTY,"HP Pavilion X360 14-ba095nd","679,-","HP","2HP39EA#ABH","14 inch","None","Intel Core i3 7100U","Intel HD Graphics 620","2000 MB","8 GB","128 GB SSD","33,48 cm x 22,69 cm x 1,99 cm","1,63 kg"
Laptops QWERTY,"Lenovo Ideapad 110-17ISK 80VL000PMH","499,-","Lenovo","80VL000PMH","17,3 inch","1600 x 900 pixels","Intel Core i3 6006U","Intel HD Graphics 520","None","4 GB","128 GB SSD","29,26 cm x 41,8 cm x 2,49 cm","2,79 kg"
Laptops QWERTY,"Lenovo Ideapad 320S-14IKB 80X4007AMH","799,-","Lenovo","80X4007AMH","14 inch","1920 x 1080 pixels","Intel Core i7 7500U","Intel HD Graphics 620","None","8 GB","256 GB SSD","23,65 cm x 32,7 cm x 1,93 cm","1,69 kg"
Laptops QWERTY,"Acer Aspire E5-774-39HZ","599,-","Acer","NX.GECEH.065","17,3 inch","1600 x 900 pixels","Intel Core i3 6006U","Intel HD Graphics 520","None","8 GB","128 GB SSD + 500 GB HDD","42,33 cm x 28,19 cm x 3,31 cm","3,1 kg"
Laptops QWERTY,"HP Envy X360 15-bq015nd","899,-","HP","1UZ48EA#ABH","15,6 inch","1920 x 1080 pixels","AMD A12 9720P","AMD Radeon R7","2000 MB","8 GB","256 GB SSD","35,97 cm x 24,88 cm x 1,96 cm","2,06 kg"
Laptops QWERTY,"HP Thinbook 14-bp033nd","799,-","HP","1UY88EA#ABH","14 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","2000 MB","8 GB","256 GB SSD","33,6 cm x 23,9 cm x 1,99 cm","1,46 kg"
Laptops QWERTY,"HP Thinbook 14-bp090nd","749,-","HP","2CV53EA#ABH","14 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","128 GB SSD","33,6 cm x 23,9 cm x 1,99 cm","1,46 kg"
Laptops QWERTY,"Asus VivoBook E200HA-FD0044TS","279,-","Asus","90NL0072-M06880","11,6 inch","1366 x 768 pixels","Intel Atom Z8350","Intel HD Graphics 400","None","2 GB","32 GB Flash + 32 GB SD kaart","28,6 cm x 19,3 cm x 1,75 cm","0,98 kg"
Laptops QWERTY,"HP 14 Thinbook 14-bp004nd","349,-","HP","2LC97EA#ABH","14 inch","1366 x 768 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","64 GB Flash","33,6 cm x 23,9 cm x 1,99 cm","None"
Laptops QWERTY,"Acer Aspire E5-774G-70BN","999,-","Acer","NX.GEDEH.012","17,3 inch","1920 x 1080 pixels","Intel Core i7 7500U","NVIDIA GeForce GTX 950M","2000 MB","8 GB","128 GB SSD + 1 TB HDD","42,332 cm x 28,19 cm x 3,31 cm","3,1 kg"
Laptops QWERTY,"Asus VivoBook A541UA-DM1741T","549,-","Asus","90NB0CF1-M28350","15,6 inch","1920 x 1080 pixels","Intel Core i3 6006U","Intel HD Graphics 520","None","8 GB","128 GB SSD","38,1 cm x 25,2 cm x 2,76 cm","2 kg"
Laptops QWERTY,"Acer Aspire ES1-523-81JN","449,-","Acer","NX.GKYEH.003","15,6 inch","1366 x 768 pixels","AMD A8 7410","AMD Radeon R5","None","8 GB","1 TB HDD","38,18 cm x 25,8 cm x 2,46 cm","2,23 kg"
Laptops QWERTY,"Medion Akoya S6219 Zilver 628","349,-","Medion","30021000","15,6 inch","1920 x 1080 pixels","Intel Celeron N3060","Intel HD Graphics","None","4 GB","128 GB SSD + 500 GB HDD","38 cm x 25,3 cm x 2,1 cm","1,65 kg"
Laptops QWERTY,"Asus Eeebook R417SA-FR170T","299,-","Asus","90NB0B63-M05680","14 inch","1920 x 1080 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","2 GB","64 GB Flash","33,9 cm x 23,5 cm x 2,19 cm","1,65 kg"
Laptops QWERTY,"Apple MacBook Pro 15'' Touch Bar MLW82N/A Silver","2.699,-","Apple","MLW82N/A","15,4 inch","2880 x 1800 pixels","Intel Core i7 6820HK","AMD Radeon Pro 455","2000 MB","16 GB","512 GB SSD","34,93 cm x 24,07 cm x 1,55 cm","1,83 kg"
Laptops QWERTY,"HP 14-bs092nd","529,-","HP","2CV59EA#ABH","14 inch","1366 x 768 pixels","Intel Core i3 6006U","Intel HD Graphics 520","None","4 GB","128 GB SSD","34 cm x 24 cm x 2,37 cm","1,7 kg"
Laptops QWERTY,"Microsoft Surface Pro - i5 - 8 GB - 256 GB","1.449,-","Microsoft","FJX-00003","12,3 inch","2736 x 1824 pixels","Intel Core i5 7300U","Intel HD Graphics 620","None","8 GB","256 GB SSD","29,2 cm x 20,1 cm x 8,5 cm","0,768 kg"
Laptops QWERTY,"Lenovo Ideapad 320-17IKB 80XM009AMH","469,-","Lenovo","80XM009AMH","17,3 inch","1600 x 900 pixels","Intel Pentium 4415U","Intel HD Graphics 610","None","8 GB","128 GB SSD","41,8 cm x 29,3 cm x 2,9 cm","2,8 kg"
Laptops QWERTY,"Acer Aspire E15 E5-575G-78P0","899,-","Acer","NX.GLAEH.007","15,6 inch","1920 x 1080 pixels","Intel Core i7 7500U","NVIDIA GeForce GTX 950M","2000 MB","8 GB","256 GB SSD","38,16 cm x 25,9 cm x 3,02 cm","2,39 kg"
Laptops QWERTY,"HP ProBook 470 G4 i7-8gb-256ssd+1tb-930mx","1.249,-","HP","748199","17,3 inch","1920 x 1920  x 1080  x 1080 pixels","Intel Core i7 7500U","NVIDIA GeForce 930MX","2000 MB","8 GB","256 GB SSD + 1 TB HDD","41,68 cm x 28 cm x 2,58 cm","2,63 kg"
Laptops QWERTY,"Lenovo Legion Y520-15IKBN 80WK00XYMH","949,-","Lenovo","80WK00XYMH","15,6 inch","1920 x 1080 pixels","Intel Core i5 7300HQ","NVIDIA GeForce GTX 1050","2000 MB","8 GB","256 GB SSD","38 cm x 26,5 cm x 2,58 cm","2,3 kg"
Laptops QWERTY,"HP 14 Thinbook 14-bp005nd","349,-","HP","2LC98EA#ABH","14 inch","1366 x 768 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","64 GB Flash","33,6 cm x 23,9 cm x 1,99 cm","None"
Laptops QWERTY,"Microsoft Surface Pro - i5 - 4 GB - 128 GB","1.049,-","Microsoft","FJT-00003","12,3 inch","2736 x 1824 pixels","Intel Core i5 7300U","Intel HD Graphics 620","None","4 GB","128 GB SSD","29,2 cm x 20,1 cm x 8,5 cm","0,768 kg"
Laptops QWERTY,"Medion Akoya E6416","399,-","Medion","30020001","15,6 inch","1366 x 768 pixels","Intel Core i3 5010U","Intel HD Graphics 5500","None","4 GB","500 GB harde schijf","38 cm x 26 cm x 2,5 cm","2,3 kg"
Laptops QWERTY,"Asus Eeebook R417SA-FR188T","299,-","Asus","90NB0B62-M05690","14 inch","1920 x 1080 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","2 GB","64 GB Flash","33,9 cm x 23,5 cm x 2,19 cm","1,65 kg"
Laptops QWERTY,"Lenovo Yoga 720-13 80X600GJMH","999,-","Lenovo","80X600GJMH","13,3 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","4000 MB","8 GB","256 GB SSD","31 cm x 21,3 cm x 1,39 cm","1,3 kg"
Laptops QWERTY,"Acer Chromebook R11 CB5-132T-C14K","295,14","Acer","NX.G54EH.006","11,6 inch","1366 x 768 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","32 GB Flash","29,4 cm x 20,4 cm x 1,92 cm","1,4 kg"
Laptops QWERTY,"MSI GP62M 7RDX-1263NL Leopard","1.299,-","MSI","GP62M 7RDX-1263NL","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","16 GB","256 GB SSD + 1 TB HDD","38,3 cm x 26 cm x 2,8 cm","2,4 kg"
Laptops QWERTY,"Lenovo Ideapad 110-17IKB 80VK0003MH","649,-","Lenovo","80VK0003MH","17,3 inch","1600 x 900 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","128 GB SSD","29,26 cm x 41,8 cm x 2,49 cm","2,79 kg"
Laptops QWERTY,"HP 17-bs035nd","899,-","HP","1VN65EA#ABH","17,3 inch","1920 x 1080 pixels","Intel Core i5 7200U","AMD Radeon 520 Graphics","None","8 GB","128 GB SSD + 1 TB HDD","41,5 cm x 27,8 cm x 2,46 cm","2,6 kg"
Laptops QWERTY,"HP Spectre x360 15-bl020nd","1.924,-","HP","Z6K98EA#ABH","15,6 inch","3840 x 2160 pixels","Intel Core i7 7500U","NVIDIA GeForce GT 940MX","2000 MB","16 GB","1 TB SSD","35,6 cm x 25,1 cm x 1,79 cm","2,01 kg"
Laptops QWERTY,"Asus Transformer Book T101HA-GR004T","299,-","Asus","90NB0BK1-M04470","10,1 inch","1280 x 800 pixels","Intel Atom Z8350","Intel HD Graphics 400","None","2 GB","64 GB Flash","26,1 cm x 17,5 cm x 2 cm","1,08 kg"
Laptops QWERTY,"Lenovo Yoga 510-14ISK 80S700LTMH","699,-","Lenovo","80S700LTMH","14 inch","1920 x 1080 pixels","Intel Core i3 6006U","Intel HD Graphics 520","None","8 GB","256 GB SSD","23,2 cm x 33,6 cm x 2,09 cm","1,73 kg"
Laptops QWERTY,"MSI GP62M 7RDX-1265NL Leopard","1.149,-","MSI","GP62M 7RDX-1265NL","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","8 GB","128 GB SSD + 1 TB HDD","38,3 cm x 26 cm x 2,8 cm","2,4 kg"
Laptops QWERTY,"HP Stream 11-aa010nd x360","349,-","HP","Z3F48EA#ABH","11,6 inch","1366 x 768 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","32 GB Flash","30,6 cm x 20,8 cm x 1,98 cm","1,35 kg"
Laptops QWERTY,"Microsoft Surface Laptop - i5 - 8 GB - 256 GB","1.379,-","Microsoft","DAG-00014","13,5 inch","2256 x 1504 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","30,802 cm x 22,32 cm x 1,447 cm","1,25 kg"
Laptops QWERTY,"Lenovo ThinkPad E570 - i5-8gb-256ssd-fhd ips","899,-","Lenovo","20H5S02E00","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB PCIe SSD","37,9 cm x 26,1 cm x 2,54 cm","2,3 kg"
Laptops QWERTY,"Lenovo Ideapad 320-14IAP 80XQ003YMH","429,-","Lenovo","80XQ003YMH","14 inch","1366 x 768 pixels","Intel Celeron N3350","Intel HD Graphics 500","None","8 GB","128 GB SSD","33,8 cm x 24,9 cm x 2,27 cm","2,1 kg"
Laptops QWERTY,"HP 17-bs097nd","429,-","HP","2GS10EA#ABH","17,3 inch","1600 x 900 pixels","Intel Celeron N3060","Intel HD Graphics 400","4000 MB","4 GB","128 GB SSD","41,5 cm x 27,8 cm x 2,46 cm","2,5 kg"
Laptops QWERTY,"HP 15-bs590nd","549,-","HP","2GR59EA#ABH","15,6 inch","1366 x 768 pixels","Intel Core i3 6006U","Intel HD Graphics 520","None","8 GB","1 TB HDD","38 cm x 25,38 cm x 2,38 cm","1,91 kg"
Laptops QWERTY,"HP Pavilion X360 14-ba012nd","766,-","HP","1VN79EA#ABH","14 inch","1920 x 1080 pixels","Intel Core i3 7100U","Intel HD Graphics 620","None","8 GB","256 GB SSD","33,48 cm x 22,69 cm x 1,99 cm","1,63 kg"
Laptops QWERTY,"HP ProBook 450 G4 i3-8gb-128ssd","799,-","HP","748193","15,6 inch","1920 x 1080 pixels","Intel Core i3 7100U","Intel HD Graphics 620","None","8 GB","128 GB SSD","38,2 cm x 26,3 cm x 2,44 cm","2,04 kg"
Laptops QWERTY,"Acer Chromebook 15 CB3-532-C968","221,34","Acer","NX.GHJEH.002","15,6 inch","1366 x 768 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","2 GB","16 GB Flash","38,3 cm x 25,6 cm x 2,42 cm","1,95 kg"
Laptops QWERTY,"Lenovo Yoga 720-15 80X7004CMH","1.999,-","Lenovo","80X7004CMH","15,6 inch","3840 x 2160 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","16 GB","1 TB SSD","24,2 cm x 36,4 cm x 1,9 cm","2 kg"
Laptops QWERTY,"HP Spectre X360 13-ac000nd","1.299,-","HP","Z5F98EA#ABH","13,3 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","30,7 cm x 21,8 cm x 1,39 cm","1,32 kg"
Laptops QWERTY,"Lenovo Yoga 520-14 80X800SCMH","1.099,-","Lenovo","80X800SCMH","14 inch","1920 x 1080 pixels","Intel Core i7 7500U","Intel HD Graphics 620","None","8 GB","256 GB SSD","32,8 cm x 22,9 cm x 1,99 cm","1,7 kg"
Laptops QWERTY,"Medion Akoya E3213T 64GB Zilver","399,-","Medion","30023174","13,3 inch","1920 x 1080 pixels","Intel Celeron N3350","Intel HD Grahpics 500","None","4 GB","64 GB SSD","31,4 cm x 21,5 cm x 1,94 cm","1,1 kg"
Laptops QWERTY,"HP ProBook 470 G4 i5-8gb-128ssd+1tb-930mx","1.079,-","HP","748197","17,3 inch","1920 x 1920  x 1080  x 1080 pixels","Intel Core i5 7200U","NVIDIA GeForce 930MX","2000 MB","8 GB","128 GB SSD + 1 TB HDD","41,68 cm x 28 cm x 2,58 cm","2,63 kg"
Laptops QWERTY,"Lenovo Legion Y720-15 80VR002EMH","1.599,-","Lenovo","80VR002EMH","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1060","6000 MB","16 GB","256 GB SSD + 1 TB HDD","38 cm x 27,7 cm x 2,9 cm","3,2 kg"
Laptops QWERTY,"Lenovo Ideapad 320-15IAP 80XR00NCMH","449,-","Lenovo","80XR00NCMH","15,6 inch","1920 x 1080 pixels","Intel Pentium N4200","Intel HD Graphics 505","None","8 GB","128 GB SSD","37,8 cm x 26 cm x 2,29 cm","2,2 kg"
Laptops QWERTY,"HP Chromebook 11-v001nd","249,-","HP","X9W45EA","11,6 inch","1366 x 768 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","16 GB Flash","28,6 cm x 20,5 cm x 1,84 cm","1,2 kg"
Laptops QWERTY,"HP ProBook 430 G3 W4N73ET","849,-","HP","W4N73ET","13,3 inch","1366 x 768 pixels","Intel Core i5 6200U","Intel HD Graphics 520","None","8 GB","256 GB SSD","32,6 cm x 23,4 cm x 2,1 cm","1,5 kg"
Laptops QWERTY,"Lenovo Ideapad 320-15IAP 80XR00NKMH","369,-","Lenovo","80XR00NKMH","15,6 inch","1920 x 1080 pixels","Intel Celeron N3350","Intel HD Graphics 500","None","4 GB","128 GB SSD","37,8 cm x 26 cm x 2,29 cm","2,2 kg"
Laptops QWERTY,"HP 14 Thinbook 14-bp001nd","449,-","HP","1VB34EA#ABH","14 inch","1366 x 768 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","128 GB Flash","33,6 cm x 23,9 cm x 1,99 cm","None"
Laptops QWERTY,"Microsoft Surface Laptop - i5 - 4 GB - 128 GB","1.049,-","Microsoft","D9P-00014","13,5 inch","2256 x 1504 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","4 GB","128 GB SSD","30,802 cm x 22,32 cm x 1,447 cm","1,25 kg"
Laptops QWERTY,"HP Pavilion Thinbook 14-bf015nd","899,-","HP","1VN91EA#ABH","14 inch","1920 x 1080 pixels","Intel Core i5 7200U","NVIDIA GeForce 940MX","2000 MB","8 GB","256 GB SSD","33,6 cm x 23,9 cm x 1,99 cm","1,46 kg"
Laptops QWERTY,"Lenovo Ideapad 320-15IAP 80XR00NHMH","359,-","Lenovo","80XR00NHMH","15,6 inch","1920 x 1080 pixels","Intel Celeron N3350","Intel HD Graphics 500","None","4 GB","128 GB SSD","37,8 cm x 26 cm x 2,29 cm","2,2 kg"
Laptops QWERTY,"Microsoft Surface Pro - Core M - 4 GB - 128 GB","899,-","Microsoft","FJR-00003","12,3 inch","2736 x 1824 pixels","Intel Core m3 7Y30","Intel HD Graphics 615","None","4 GB","128 GB SSD","29,2 cm x 20,1 cm x 8,5 cm","0,768 kg"
Laptops QWERTY,"Asus Chromebook C301SA-FC032","379,-","Asus","90NB0BL7-M01380","13,3 inch","1920 x 1080 pixels","Intel Celeron N3160","Intel HD Graphics 400","None","4 GB","32 GB Flash","32,9 cm x 23 cm x 2,2 cm","1,35 kg"
Laptops QWERTY,"Asus Gaming ROG Strix GL753VD-GC366T","1.369,-","Asus","90NB0DM2-M05730","17,3 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","16 GB","256 GB SSD + 1 TB HDD","41,5 cm x 27,3 cm x 3,2 cm","3 kg"
Laptops QWERTY,"Asus VivoBook R541UA-DM1426T","629,-","Asus","90NB0CF3-M21880","15,6 inch","1920 x 1080 pixels","Intel Core i3 6006U","Intel HD Graphics 520","None","8 GB","256 GB SSD","38,1 cm x 25,2 cm x 2,76 cm","2 kg"
Laptops QWERTY,"Acer Chromebook 11 CB3-131-C2SS","269,-","Acer","NX.G85EH.004","11,6 inch","None","Intel Celeron N2940","Intel HD Graphics","None","4 GB","32 GB flash","29,4 cm x 20,4 cm x 1,86 cm","1,1 kg"
Laptops QWERTY,"Acer Aspire 7 A717-71G-785Y","1.399,-","Acer","NX.GPGEH.003","17,3 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050Ti","4000 MB","16 GB","256 GB SSD + 1 TB HDD","42,33 cm x 28,99 cm x 2,83 cm","2,9 kg"
Laptops QWERTY,"Dell XPS 13 9360-KX17J","1.549,-","Dell","BNX93605P","13,3 inch","3200 x 1800 pixels","Intel Core i7 7500U","Intel HD Graphics 620","None","8 GB","256 GB SSD","30,4 cm x 20 cm x 1,5 cm","1,29 kg"
Laptops QWERTY,"HP ProBook 450 G4 i7-8gb-256ssd","1.099,-","HP","772117","15,6 inch","1920 x 1080 pixels","Intel Core i7 7500U","Intel HD Graphics 620","None","8 GB","256 GB SSD","38,2 cm x 26,3 cm x 2,44 cm","2,04 kg"
Laptops QWERTY,"HP 17-ak091nd","499,-","HP","2FN29EA#ABH","17,3 inch","1600 x 900 pixels","AMD A9 9420","AMD Radeon R5","4000 MB","8 GB","1 TB HDD","41,5 cm x 27,8 cm x 2,46 cm","2,6 kg"
Laptops QWERTY,"Medion Akoya P7645-i5-1128","799,-","Medion","30022274","17,3 inch","1920 x 1080 pixels","Intel Core i5 7200U","NIVIDIA GeForce GT940MX","2000 MB","8 GB","128 GB SSD + 1 TB HDD","42 cm x 27,9 cm x 2,8 cm","2,7 kg"
Laptops QWERTY,"Medion Akoya E3213T 128GB Zilver","499,-","Medion","30023172","13,3 inch","1920 x 1080 pixels","Intel Pentium N4200","Intel HD Grahpics 505","None","4 GB","128 GB SSD","31,4 cm x 21,5 cm x 1,94 cm","1,1 kg"
Laptops QWERTY,"Apple MacBook Pro 15'' Touch Bar (2017) MPTT2N/A Space Gray","3.297,-","Apple","MPTT2N/A","15,4 inch","2880 x 1800 pixels","Intel Core i7 None","AMD Radeon Pro 560","4000 MB","16 GB","512 GB SSD","34,93 cm x 24,07 cm x 1,55 cm","1,83 kg"
Laptops QWERTY,"MSI GP62M 7REX-1289NL Leopard Pro","1.399,-","MSI","GP62M 7REX-1289NL","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050Ti","4000 MB","16 GB","256 GB SSD + 1 TB HDD","38,3 cm x 26 cm x 2,9 cm","0,495 kg"
Laptops QWERTY,"Apple MacBook Pro 13'' (2017) MPXU2N/A Silver","1.749,-","Apple","MPXU2N/A","13,3 inch","2560 x 1600 pixels","Intel Core i5 None","Intel Iris Plus Graphics 640","None","8 GB","256 GB SSD","30,41 cm x 21,24 cm x 1,49 cm","1,37 kg"
Laptops QWERTY,"MSI GP72M 7REX-687NL Leopard Pro","1.499,-","MSI","GP72M 7REX-687NL","17,3 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050Ti","4000 MB","16 GB","256 GB SSD + 1 TB HDD","38,3 cm x 26 cm x 2,8 cm","2,7 kg"
Laptops QWERTY,"MSI GL62M 7RDX-1267NL","999,-","MSI","GL62M 7RDX-1267NL","15,6 inch","1920 x 1080 pixels","Intel Core i5 7300HQ","NVIDIA GeForce GTX 1050","2000 MB","8 GB","128 GB SSD + 1 TB HDD","38,3 cm x 26 cm x 2,8 cm","2,4 kg"
Laptops QWERTY,"Medion Erazer P7643-i5-256","799,-","Medion","30022714","17,3 inch","1920 x 1080 pixels","Intel Core i5 6200U","NVIDIA GeForce GTX 950","4000 MB","8 GB","256 GB SSD","42 cm x 27,9 cm x 2,8 cm","2,59 kg"
Laptops QWERTY,"Apple MacBook Pro 13'' (2017) MPXR2N/A Silver","1.449,-","Apple","MPXR2N/A","13,3 inch","2560 x 1600 pixels","Intel Core i5 None","Intel Iris Plus Graphics 640","None","8 GB","128 GB SSD","30,41 cm x 21,24 cm x 1,49 cm","1,37 kg"
Laptops QWERTY,"Dell XPS 15 CNX95602","1.699,-","Dell","CNX95602","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","4000 MB","8 GB","256 GB SSD","35,7 cm x 23,5 cm x 1,7 cm","1,8 kg"
Laptops QWERTY,"Dell Vostro 14 5468 4W59W","769,-","Dell","DEL-4W59W-NL","14 inch","1366 x 768 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","34 cm x 24 cm x 1,84 cm","1,98 kg"
Laptops QWERTY,"Lenovo Ideapad 320S-14IKB 80X4006WMH","749,-","Lenovo","80X4006WMH","14 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","128 GB SSD","23,65 cm x 32,7 cm x 1,93 cm","1,69 kg"
Laptops QWERTY,"Acer Chromebook R13 CB5-312T-K5G1","393,54","Acer","NX.GL4EH.002","13,3 inch","1920 x 1080 pixels","MediaTek MT8173 MT8173","Imagination GX6250","None","4 GB","32 GB Flash","32,6 cm x 22,8 cm x 1,55 cm","1,49 kg"
Laptops QWERTY,"Asus VivoBook S510UA-BQ113T","899,-","Asus","90NB0FQ1-M04940","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","128 GB SSD + 1 TB HDD","36,1 cm x 24,3 cm x 1,79 cm","1,7 kg"
Laptops QWERTY,"Acer Chromebook 11 CB3-131-C2E2","204,94","Acer","NX.G85EH.005","11,6 inch","None","Intel Celeron N2840","Intel HD Graphics","None","2 GB","16 GB Flash","29,4 cm x 20,4 cm x 1,86 cm","1,1 kg"
Laptops QWERTY,"HP Envy Notebook 17-ae020nd","1.276,01","HP","1VA54EA#ABH","17,3 inch","1920 x 1080 pixels","Intel Core i7 7500U","Intel HD Graphics 620","None","16 GB","256 GB SSD + 1 TB HDD","41,6 cm x 28,3 cm x 2,33 cm","3,04 kg"
Laptops QWERTY,"Medion Akoya S4219 64 GB Zwart","299,-","Medion","30023146","14,1 inch","1920 x 1080 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","64 GB SSD","34 cm x 23,5 cm x 2,05 cm","1,61 kg"
Laptops QWERTY,"HP Envy 13-ad031nd","1.299,-","HP","1US18EA#ABH","13,3 inch","1920 x 1080 pixels","Intel Core i7 7500U","Intel HD Graphics 620","None","8 GB","512 GB SSD","30,54 cm x 21,56 cm x 1,39 cm","1,32 kg"
Laptops QWERTY,"Asus VivoBook R540YA-DM326T","449,-","Asus","90NB0CN3-M04710","15,6 inch","1920 x 1080 pixels","AMD E2 7110","AMD Radeon R2","None","4 GB","256 GB SSD","38,1 cm x 25,2 cm x 2,72 cm","2 kg"
Laptops QWERTY,"Asus VivoBook R541UA-DM1457T","549,-","None","90NB0CF3-M22530","15,6 inch","1920 x 1080 pixels","Intel Core i3 6006U","Intel HD Graphics 520","None","8 GB","128 GB SSD","38,1 cm x 25,2 cm x 2,76 cm","2 kg"
Laptops QWERTY,"HP ZBook 15u G4 i5 8GB 256SSD+1TB","1.049,-","HP","772527","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","AMD FirePro W4190M","2000 MB","8 GB","256 GB SSD + 1 TB HDD","38,33 cm x 25,77 cm x 1,99 cm","1,99 kg"
Laptops QWERTY,"Acer Aspire ES1-132-C2JZ","259,-","Acer","NX.GGLEH.010","11,6 inch","1366 x 768 pixels","Intel Celeron N3350","Intel HD Graphics 500","None","4 GB","64 GB Flash","29,1 cm x 21,1 cm x 2,1 cm","1,25 kg"
Laptops QWERTY,"HP ProBook 450 G4 i5-8gb-128ssd+1tb-930mx","999,-","HP","748196","15,6 inch","1920 x 1920  x 1080  x 1080 pixels","Intel Core i5 7200U","NVIDIA GeForce 930MX","2000 MB","8 GB","128 GB SSD + 1 TB HDD","38,2 cm x 26,3 cm x 2,44 cm","2,04 kg"
Laptops QWERTY,"Lenovo Yoga Book Pro YB1-X91F Zwart","599,-","Lenovo","ZA150022NL","10,1 inch","1920 x 1200 pixels","Intel Atom Z8550","Intel HD Graphics","None","4 GB","64 GB Flash","25,66 cm x 17,08 cm x 0,96 cm","None"
Laptops QWERTY,"Apple MacBook Air 13,3'' (2017) 8/256 GB - 2,2GHz","1.529,-","Apple","791417","13,3 inch","1440 x 900 pixels","Intel Core i7 5650U","Intel HD Graphics 6000","None","8 GB","256 GB SSD","32,5 cm x 22,7 cm x 1,7 cm","1,35 kg"
Laptops QWERTY,"Dell Chromebook 3189","399,-","Dell","SM002CHB318911NL","11,6 inch","1366 x 768 pixels","Intel Celeron Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","32 GB Flash","30,3 cm x 20,6 cm x 2,08 cm","1,27 kg"
Laptops QWERTY,"Dell Latitude 7275 1JXV0","749,-","Dell","1JXV0","12,5 inch","1920 x 1080 pixels","Intel Core M 6Y57","Intel HD Graphics 515","None","4 GB","128 GB SSD","29,1 cm x 19,3 cm x 1,71 cm","0,73 kg"
Laptops QWERTY,"Asus Chromebook Flip C302CA-GU009","699,-","Asus","90NB0DF1-M00290","12,5 inch","1920 x 1080 pixels","Intel Core M 6Y30","Intel HD Graphics 515","None","8 GB","32 GB Flash","30,4 cm x 21 cm x 1,37 cm","1,002 kg"
